dataset_id,L,Vf,rate,seed,source,result_dir
140,26,4.1,1.00,4226009,reused_original_rigorous,raw/rigorous/task_0272_L26_V4.10_R1.0_s4226009
141,26,4.1,1.00,4226010,reused_original_rigorous,raw/rigorous/task_0273_L26_V4.10_R1.0_s4226010
142,26,4.1,1.00,4226011,reused_original_rigorous,raw/rigorous/task_0274_L26_V4.10_R1.0_s4226011
143,26,4.1,1.00,4226012,reused_original_rigorous,raw/rigorous/task_0275_L26_V4.10_R1.0_s4226012
144,26,4.2,0.25,4226001,new_r025,raw/rigorous_compatible/task_0048_L26_V4.2_R0.25_s4226001
145,26,4.2,0.25,4226002,new_r025,raw/rigorous_compatible/task_0049_L26_V4.2_R0.25_s4226002
146,26,4.2,0.25,4226003,new_r025,raw/rigorous_compatible/task_0050_L26_V4.2_R0.25_s4226003
147,26,4.2,0.25,4226004,new_r025,raw/rigorous_compatible/task_0051_L26_V4.2_R0.25_s4226004
148,26,4.2,0.25,4226005,new_r025,raw/rigorous_compatible/task_0052_L26_V4.2_R0.25_s4226005
149,26,4.2,0.25,4226006,new_r025,raw/rigorous_compatible/task_0053_L26_V4.2_R0.25_s4226006
150,26,4.2,0.25,4226007,new_r025,raw/rigorous_compatible/task_0054_L26_V4.2_R0.25_s4226007
151,26,4.2,0.25,4226008,new_r025,raw/rigorous_compatible/task_0055_L26_V4.2_R0.25_s4226008
152,26,4.2,0.25,4226009,new_r025,raw/rigorous_compatible/task_0056_L26_V4.2_R0.25_s4226009
153,26,4.2,0.25,4226010,new_r025,raw/rigorous_compatible/task_0057_L26_V4.2_R0.25_s4226010
154,26,4.2,0.25,4226011,new_r025,raw/rigorous_compatible/task_0058_L26_V4.2_R0.25_s4226011
155,26,4.2,0.25,4226012,new_r025,raw/rigorous_compatible/task_0059_L26_V4.2_R0.25_s4226012
156,26,4.2,0.50,4226001,reused_original_rigorous,raw/rigorous/task_0324_L26_V4.20_R0.5_s4226001
157,26,4.2,0.50,4226002,reused_original_rigorous,raw/rigorous/task_0325_L26_V4.20_R0.5_s4226002
158,26,4.2,0.50,4226003,reused_original_rigorous,raw/rigorous/task_0326_L26_V4.20_R0.5_s4226003
159,26,4.2,0.50,4226004,reused_original_rigorous,raw/rigorous/task_0327_L26_V4.20_R0.5_s4226004
160,26,4.2,0.50,4226005,reused_original_rigorous,raw/rigorous/task_0328_L26_V4.20_R0.5_s4226005
161,26,4.2,0.50,4226006,reused_original_rigorous,raw/rigorous/task_0329_L26_V4.20_R0.5_s4226006
162,26,4.2,0.50,4226007,reused_original_rigorous,raw/rigorous/task_0330_L26_V4.20_R0.5_s4226007
163,26,4.2,0.50,4226008,reused_original_rigorous,raw/rigorous/task_0331_L26_V4.20_R0.5_s4226008
164,26,4.2,0.50,4226009,reused_original_rigorous,raw/rigorous/task_0332_L26_V4.20_R0.5_s4226009
165,26,4.2,0.50,4226010,reused_original_rigorous,raw/rigorous/task_0333_L26_V4.20_R0.5_s4226010
166,26,4.2,0.50,4226011,reused_original_rigorous,raw/rigorous/task_0334_L26_V4.20_R0.5_s4226011
167,26,4.2,0.50,4226012,reused_original_rigorous,raw/rigorous/task_0335_L26_V4.20_R0.5_s4226012
168,26,4.2,1.00,4226001,reused_original_rigorous,raw/rigorous/task_0336_L26_V4.20_R1.0_s4226001
169,26,4.2,1.00,4226002,reused_original_rigorous,raw/rigorous/task_0337_L26_V4.20_R1.0_s4226002
170,26,4.2,1.00,4226003,reused_original_rigorous,raw/rigorous/task_0338_L26_V4.20_R1.0_s4226003
171,26,4.2,1.00,4226004,reused_original_rigorous,raw/rigorous/task_0339_L26_V4.20_R1.0_s4226004
172,26,4.2,1.00,4226005,reused_original_rigorous,raw/rigorous/task_0340_L26_V4.20_R1.0_s4226005
173,26,4.2,1.00,4226006,reused_original_rigorous,raw/rigorous/task_0341_L26_V4.20_R1.0_s4226006
174,26,4.2,1.00,4226007,reused_original_rigorous,raw/rigorous/task_0342_L26_V4.20_R1.0_s4226007
175,26,4.2,1.00,4226008,reused_original_rigorous,raw/rigorous/task_0343_L26_V4.20_R1.0_s4226008
176,26,4.2,1.00,4226009,reused_original_rigorous,raw/rigorous/task_0344_L26_V4.20_R1.0_s4226009
177,26,4.2,1.00,4226010,reused_original_rigorous,raw/rigorous/task_0345_L26_V4.20_R1.0_s4226010
178,26,4.2,1.00,4226011,reused_original_rigorous,raw/rigorous/task_0346_L26_V4.20_R1.0_s4226011
179,26,4.2,1.00,4226012,reused_original_rigorous,raw/rigorous/task_0347_L26_V4.20_R1.0_s4226012
180,34,3.8,0.25,4234001,new_r025,raw/rigorous_compatible/task_0060_L34_V3.8_R0.25_s4234001
181,34,3.8,0.25,4234002,new_r025,raw/rigorous_compatible/task_0061_L34_V3.8_R0.25_s4234002
182,34,3.8,0.25,4234003,new_r025,raw/rigorous_compatible/task_0062_L34_V3.8_R0.25_s4234003
183,34,3.8,0.25,4234004,new_r025,raw/rigorous_compatible/task_0063_L34_V3.8_R0.25_s4234004
184,34,3.8,0.25,4234005,new_r025,raw/rigorous_compatible/task_0064_L34_V3.8_R0.25_s4234005
185,34,3.8,0.25,4234006,new_r025,raw/rigorous_compatible/task_0065_L34_V3.8_R0.25_s4234006
186,34,3.8,0.25,4234007,new_r025,raw/rigorous_compatible/task_0066_L34_V3.8_R0.25_s4234007
187,34,3.8,0.25,4234008,new_r025,raw/rigorous_compatible/task_0067_L34_V3.8_R0.25_s4234008
188,34,3.8,0.25,4234009,new_r025,raw/rigorous_compatible/task_0068_L34_V3.8_R0.25_s4234009
189,34,3.8,0.25,4234010,new_r025,raw/rigorous_compatible/task_0069_L34_V3.8_R0.25_s4234010
190,34,3.8,0.25,4234011,new_r025,raw/rigorous_compatible/task_0070_L34_V3.8_R0.25_s4234011
191,34,3.8,0.25,4234012,new_r025,raw/rigorous_compatible/task_0071_L34_V3.8_R0.25_s4234012
