task_id,dataset_id,L,Vf,rate,seed,burn,measurements,output_dir
33,81,26,4.0,0.25,4226010,500,5000,raw/rigorous_compatible/task_0033_L26_V4.0_R0.25_s4226010
34,82,26,4.0,0.25,4226011,500,5000,raw/rigorous_compatible/task_0034_L26_V4.0_R0.25_s4226011
35,83,26,4.0,0.25,4226012,500,5000,raw/rigorous_compatible/task_0035_L26_V4.0_R0.25_s4226012
36,108,26,4.1,0.25,4226001,500,5000,raw/rigorous_compatible/task_0036_L26_V4.1_R0.25_s4226001
37,109,26,4.1,0.25,4226002,500,5000,raw/rigorous_compatible/task_0037_L26_V4.1_R0.25_s4226002
38,110,26,4.1,0.25,4226003,500,5000,raw/rigorous_compatible/task_0038_L26_V4.1_R0.25_s4226003
39,111,26,4.1,0.25,4226004,500,5000,raw/rigorous_compatible/task_0039_L26_V4.1_R0.25_s4226004
40,112,26,4.1,0.25,4226005,500,5000,raw/rigorous_compatible/task_0040_L26_V4.1_R0.25_s4226005
41,113,26,4.1,0.25,4226006,500,5000,raw/rigorous_compatible/task_0041_L26_V4.1_R0.25_s4226006
42,114,26,4.1,0.25,4226007,500,5000,raw/rigorous_compatible/task_0042_L26_V4.1_R0.25_s4226007
43,115,26,4.1,0.25,4226008,500,5000,raw/rigorous_compatible/task_0043_L26_V4.1_R0.25_s4226008
44,116,26,4.1,0.25,4226009,500,5000,raw/rigorous_compatible/task_0044_L26_V4.1_R0.25_s4226009
45,117,26,4.1,0.25,4226010,500,5000,raw/rigorous_compatible/task_0045_L26_V4.1_R0.25_s4226010
46,118,26,4.1,0.25,4226011,500,5000,raw/rigorous_compatible/task_0046_L26_V4.1_R0.25_s4226011
47,119,26,4.1,0.25,4226012,500,5000,raw/rigorous_compatible/task_0047_L26_V4.1_R0.25_s4226012
48,144,26,4.2,0.25,4226001,500,5000,raw/rigorous_compatible/task_0048_L26_V4.2_R0.25_s4226001
49,145,26,4.2,0.25,4226002,500,5000,raw/rigorous_compatible/task_0049_L26_V4.2_R0.25_s4226002
50,146,26,4.2,0.25,4226003,500,5000,raw/rigorous_compatible/task_0050_L26_V4.2_R0.25_s4226003
51,147,26,4.2,0.25,4226004,500,5000,raw/rigorous_compatible/task_0051_L26_V4.2_R0.25_s4226004
52,148,26,4.2,0.25,4226005,500,5000,raw/rigorous_compatible/task_0052_L26_V4.2_R0.25_s4226005
53,149,26,4.2,0.25,4226006,500,5000,raw/rigorous_compatible/task_0053_L26_V4.2_R0.25_s4226006
