block_size,cut,green_relative_error,overlap_rcond,solve_residual,alarm
2,28,5.7994357691308648e-15,0.99999831396848071,3.898467554507657e-15,0
2,29,4.212879006157562e-15,0.99999831396848082,2.6154997402183891e-15,0
2,30,2.2441108393847275e-15,0.99999831396848082,4.7218955381746789e-16,0
2,31,2.091346771426689e-15,0.99999831396848093,6.1981752880015847e-16,0
2,32,2.1154750628552741e-15,0.99999831396847993,4.5613430432973456e-16,0
2,33,2.0593548665687309e-15,0.99999831396848071,5.1934240259418096e-16,0
2,34,2.1560630887283807e-15,0.99999831396848049,6.3316956672211942e-16,0
2,35,2.182045120678527e-15,0.99999831396848049,6.7213583800516431e-16,0
2,36,2.2268496655255087e-15,0.99999831396848049,4.3790435213550601e-16,0
2,37,2.0656553079070753e-15,0.9999983139684806,2.9145825315139048e-16,0
2,38,2.2346275606621531e-15,0.9999983139684806,4.4046434229917073e-16,0
2,39,1.9955802092201904e-15,0.99999831396848049,4.6183480940627604e-16,0
2,40,3.0311028456804211e-15,0.99999831396848071,1.6374121781758058e-15,0
2,41,3.7133643627764757e-15,0.99999831396848082,2.0824583244513711e-15,0
2,42,4.498657800493259e-15,0.9999983139684806,2.8398793571517191e-15,0
2,43,2.2172278067261637e-15,0.99999831396848071,5.6074283168332761e-16,0
2,44,2.1382300285129574e-15,0.99999831396848005,5.5364301204105493e-16,0
2,45,2.136932959188844e-15,0.9999983139684806,6.8716513746345678e-16,0
2,46,2.3984858249753808e-15,0.99999831396847971,8.5359819165260999e-16,0
2,47,2.1894948333228809e-15,0.99999831396848038,4.7258657853137102e-16,0
2,48,2.1510589260271065e-15,0.99999831396848005,5.8419514670925391e-16,0
4,0,1.6780619383139281e-15,0.9999983139684806,9.6767517985405527e-16,0
4,1,1.0829645439977677e-15,0.9999983139684806,4.726625681738159e-16,0
4,2,1.313573437917095e-15,0.99999831396848049,4.2445676284210767e-16,0
4,3,1.273786641450413e-15,0.99999831396848005,5.1662358770343189e-16,0
4,4,1.2373498499087987e-15,0.99999831396848049,4.852503878184858e-16,0
4,5,1.3215314122637911e-15,0.99999831396848027,6.8613628451241999e-16,0
4,6,1.2272153970465615e-15,0.99999831396848038,4.3538719896943056e-16,0
4,7,1.664623792025703e-15,0.99999831396848105,4.3566920136246882e-16,0
4,8,1.5803293931685333e-15,0.99999831396848038,4.0774360638320374e-16,0
4,9,1.3520463062107948e-15,0.99999831396848038,4.5932142710137949e-16,0
4,10,1.9447386533109778e-15,0.99999831396848005,4.3989512270021418e-16,0
4,11,1.484847965724582e-15,0.99999831396848038,5.9034627017506332e-16,0
4,12,1.38309821428598e-15,0.99999831396848071,4.8790864723233646e-16,0
4,13,1.4993708310097193e-15,0.9999983139684806,6.835084421826397e-16,0
4,14,1.8296855766254696e-15,0.99999831396848093,9.2649583708472087e-16,0
4,15,1.2450754620831437e-15,0.99999831396848027,5.08446403931224e-16,0
4,16,1.4164989371422317e-15,0.99999831396848116,5.724335016337814e-16,0
4,17,1.4189478399597211e-15,0.99999831396848016,4.9709482597715961e-16,0
4,18,1.7079758805538363e-15,0.99999831396848038,7.236466250716726e-16,0
4,19,1.5400131200127162e-15,0.99999831396848049,6.6656415330634085e-16,0
4,20,2.3652945985247506e-15,0.9999983139684806,1.5799781731731619e-15,0
4,21,1.4237851031145259e-15,0.99999831396848038,5.2376510823500076e-16,0
4,22,1.5668709834616865e-15,0.99999831396848016,4.765235750025459e-16,0
4,23,1.5536401951656209e-15,0.99999831396848016,4.587016214404072e-16,0
4,24,4.5385721060227096e-15,0.99999831396848071,3.0310211347340327e-15,0
4,25,1.6969412508528686e-15,0.99999831396848049,6.0471064440096062e-16,0
4,26,1.9330967099594174e-15,0.99999831396848038,9.6734365790112846e-16,0
4,27,3.9107808740970563e-15,0.99999831396848038,2.6459111307108317e-15,0
4,28,1.6590452758314163e-15,0.99999831396848071,5.7476398103731656e-16,0
4,29,1.7314608759912439e-15,0.99999831396848038,5.9966249591420726e-16,0
4,30,1.8000749893995581e-15,0.99999831396848027,5.5451825045962675e-16,0
4,31,1.3963172674695098e-15,0.99999831396848038,4.7073257532335368e-16,0
4,32,1.5255942637819968e-15,0.99999831396848016,5.0239734078879033e-16,0
4,33,1.5616495119035712e-15,0.99999831396848016,5.4829397521874773e-16,0
4,34,1.9140365077815717e-15,0.99999831396848016,5.6546537716335661e-16,0
4,35,1.4307698007294001e-15,0.99999831396848027,5.1376441189581457e-16,0
4,36,1.6830536071859386e-15,0.99999831396848049,5.3124999802882465e-16,0
4,37,1.7557474011291669e-15,0.99999831396848049,5.7978323923044739e-16,0
4,38,1.8016791157610124e-15,0.99999831396848049,4.6617057995132899e-16,0
4,39,1.476117140712024e-15,0.99999831396848049,4.3127762078228177e-16,0
4,40,1.4709753216716514e-15,0.99999831396848049,4.5961548858839907e-16,0
4,41,1.7539278843187702e-15,0.99999831396848093,6.256877306368004e-16,0
4,42,1.550476964227807e-15,0.9999983139684806,5.8868538577804005e-16,0
4,43,1.5041734405159122e-15,0.99999831396848105,5.2303327130806701e-16,0
4,44,5.1167456118578702e-15,0.99999831396848005,3.4712373626588029e-15,0
4,45,3.3194202298030587e-15,0.99999831396848049,2.0618033982609887e-15,0
4,46,3.1074155142893814e-15,0.99999831396848005,1.8803083972979462e-15,0
4,47,1.6923612670464731e-15,0.99999831396848027,6.7822457040857371e-16,0
4,48,1.7270388802351129e-15,0.99999831396848038,5.4698539552637363e-16,0
8,0,1.3914806362739159e-15,0.99999831396848049,8.2323070336215598e-16,0
8,1,8.1529047148011634e-16,0.9999983139684806,4.4923148483383792e-16,0
8,2,1.2317700958256621e-15,0.99999831396848005,7.0016359153385687e-16,0
8,3,1.5333420671673155e-15,0.9999983139684806,8.5484978201330577e-16,0
8,4,1.0679063326828415e-15,0.9999983139684806,5.6692716484575772e-16,0
8,5,1.0308062996436936e-15,0.99999831396848082,4.8818463592387872e-16,0
8,6,1.3541891492581808e-15,0.99999831396848038,7.3553215813049052e-16,0
8,7,1.7156754786847698e-15,0.99999831396848005,5.0379350336385062e-16,0
8,8,1.5769735908522834e-15,0.99999831396848027,5.3558715918683726e-16,0
8,9,2.1318342023954146e-15,0.99999831396848027,1.3614465670417496e-15,0
8,10,2.1480023399046821e-15,0.99999831396848027,9.5755984747116275e-16,0
8,11,1.3119462614486719e-15,0.9999983139684806,6.5777448122914392e-16,0
8,12,1.4150789580071103e-15,0.99999831396848005,6.2629239726546951e-16,0
8,13,1.1445111160151992e-15,0.99999831396848049,5.2839860241570876e-16,0
8,14,1.5195582586224565e-15,0.99999831396848027,8.3300960200920661e-16,0
8,15,1.8762733703070931e-15,0.99999831396848082,1.2257947149250098e-15,0
8,16,1.1811951870888668e-15,0.99999831396848016,5.7899960463243185e-16,0
8,17,1.2206543464559385e-15,0.99999831396848049,5.0868566408652587e-16,0
8,18,1.3656304980125194e-15,0.99999831396848093,6.1407708890989229e-16,0
8,19,1.2196721115854603e-15,0.99999831396848049,7.462575691301048e-16,0
8,20,1.2927028388569553e-15,0.9999983139684796,5.5136960674510409e-16,0
8,21,1.1013243751654004e-15,0.99999831396847982,5.4331605674499616e-16,0
8,22,1.225252796198953e-15,0.99999831396848005,5.3061521716574288e-16,0
8,23,1.0752562823532298e-15,0.99999831396848049,4.3198564330673786e-16,0
8,24,1.3482251604157468e-15,0.99999831396848027,5.89433021280158e-16,0
8,25,1.1672950663791241e-15,0.99999831396848038,4.6183797659896968e-16,0
8,26,1.1699235445086772e-15,0.99999831396848038,4.9445376704419803e-16,0
8,27,1.031993769132645e-15,0.99999831396848038,5.3492638003232186e-16,0
8,28,1.2236536282516991e-15,0.99999831396848038,5.4879230995329516e-16,0
8,29,1.3517512628531289e-15,0.99999831396848016,5.0204736138973322e-16,0
8,30,1.4409418377138049e-15,0.99999831396848038,5.0720885066705587e-16,0
8,31,1.3779354984661802e-15,0.99999831396848027,6.202934254534013e-16,0
8,32,1.5026190606824745e-15,0.99999831396847993,6.5337589194307064e-16,0
8,33,1.2230297949455022e-15,0.99999831396848049,4.6128456598292497e-16,0
8,34,1.471029587217006e-15,0.99999831396848027,5.4111852507165685e-16,0
