group,L,boundary,hs_scheme,configuration,pf_weight_real,pf_weight_imag,dense_weight_real,dense_weight_imag,weight_error,z2_match,green_error,determinant_identity_error
dense_L4_random,4,0,0,71,1.1057458603910792,-4.2535652778323178e-17,1.1057458603910857,1.0949733732022845e-16,5.8251070955253508e-15,1,2.4650497071991538e-15,3.632114883839265e-16
dense_L4_random,4,0,0,72,1.477578391953589,5.9938458093491725e-17,1.4775783919535979,1.6059270789738271e-17,6.0111142895288449e-15,1,2.0190324068750024e-15,4.0681705732714032e-16
dense_L4_random,4,0,0,73,4.4819482183161883,1.7625594790125774e-16,4.4819482183162158,8.6859200368512801e-17,6.1432383412881762e-15,1,1.1890539337581092e-15,3.5371748992391921e-16
dense_L4_random,4,0,0,74,2.0084947367837254,6.3077465488225306e-17,2.0084947367837387,5.9269521501514901e-17,6.6331649248119164e-15,1,2.0557218308632689e-15,4.4034068780510566e-16
dense_L4_random,4,0,0,75,2.0814407347893096,-9.367661952069978e-17,2.0814407347893233,2.5346049596711043e-16,6.6161583240430787e-15,1,1.6846604437162624e-15,1.138026438424989e-32
dense_L4_random,4,0,0,76,0.99761952816504429,2.0977859843451895e-17,0.99761952816505084,2.7664443821554981e-17,6.5659493155463645e-15,1,2.6386647220314873e-15,2.2310553354255868e-16
dense_L4_random,4,0,0,77,1.5030571324743847,-4.6262696365024758e-17,1.5030571324743949,1.0240966339221853e-16,6.7962378550942339e-15,1,2.1020516653199628e-15,1.9657090789716054e-16
dense_L4_random,4,0,0,78,2.447702249485487,1.0350008469438899e-16,2.4477022494855003,2.9593652030958133e-17,5.4430155022338457e-15,1,1.9165372325583164e-15,4.4473806028476534e-16
dense_L4_random,4,0,0,79,4.4819482183161892,-1.347414045834502e-16,4.4819482183162158,1.5030948633593791e-16,5.9453782107217808e-15,1,1.405317992606544e-15,5.3057623488587867e-16
dense_L4_random,4,0,0,80,1.1057458603910792,-4.2535652778323178e-17,1.1057458603910857,1.0949733732022845e-16,5.8251070955253508e-15,1,2.4650497071991538e-15,3.632114883839265e-16
dense_L4_random,4,0,0,81,2.0814407347893087,2.2900318693156166e-16,2.0814407347893233,-9.5877468310064776e-17,7.0424991325354492e-15,1,2.1747757923017255e-15,2.0500861776114232e-16
dense_L4_random,4,0,0,82,0.9976195281650444,2.1207428223631235e-18,0.99761952816505095,1.6004744550189457e-17,6.5659606438684482e-15,1,2.3631861585841189e-15,7.7405281331321497e-33
dense_L4_random,4,0,0,83,1.1057458603910792,-4.2535652778323178e-17,1.1057458603910857,1.0949733732022845e-16,5.8251070955253508e-15,1,2.4650497071991538e-15,3.632114883839265e-16
dense_L4_random,4,0,0,84,1.1057458603910792,-6.8110474939779973e-17,1.1057458603910855,1.0974126469703354e-16,5.6249744809381974e-15,1,2.4590251216075263e-15,0
dense_L4_random,4,0,0,85,1.4775783919535894,3.8968210501861343e-17,1.4775783919535979,3.7445085637238968e-17,5.7104889801942235e-15,1,2.0992003687739995e-15,4.0681705732714037e-16
dense_L4_random,4,0,0,86,2.4477022494854874,1.1156171863838027e-16,2.4477022494855021,-8.700685442692351e-18,5.9874265232267781e-15,1,1.7797396585389244e-15,2.9649204018984341e-16
dense_L4_random,4,0,0,87,0.9976195281650444,2.1207428223631235e-18,0.99761952816505095,1.6004744550189457e-17,6.5659606438684482e-15,1,2.3631861585841189e-15,7.7405281331321497e-33
dense_L4_random,4,0,0,88,1.5030571324743853,2.0514268018318425e-17,1.5030571324743942,9.2210959353786838e-17,5.9093386272912679e-15,1,1.8928849530023297e-15,1.9657090789716047e-16
