task,L,V,seed,attempt,initialization_policy,initialization_success,initial_z2,center_overlap_rcond,center_solve_residual,center_green_residual,proposals,accepted,independent_field_mismatches,mp_fallback_count,mp_fallback_failures,endpoint_rebuild_residual_max,final_hash,status
16,12,4,712041,79,mirrored_theorem_z2_plus,1,1,0.99999999999999922,7.9548877975197982e-16,2.1904891757771972e-15,64,49,5,0,0,2.1904891757771972e-15,11425003398385954893,PASS
16,12,4,712041,80,mirrored_theorem_z2_plus,1,1,0.99999999999999944,7.48268929442535e-16,2.063206203235215e-15,64,52,4,0,0,2.063206203235215e-15,18311917955103910951,PASS
16,12,4,712041,81,mirrored_theorem_z2_plus,1,1,0.99999999999999933,8.479026043971703e-16,2.3735307461753105e-15,64,51,5,0,0,2.3735307461753105e-15,1360837774396172389,PASS
16,12,4,712041,82,mirrored_theorem_z2_plus,1,1,0.99999999999999922,7.6557011220236102e-16,2.1135292420722567e-15,64,40,8,0,0,2.1135292420722567e-15,5986667259013601051,PASS
16,12,4,712041,83,mirrored_theorem_z2_plus,1,1,0.99999999999999878,9.092653434141499e-16,2.5427836140682776e-15,64,47,11,0,0,2.5427836140682776e-15,13192262656665148825,PASS
16,12,4,712041,84,mirrored_theorem_z2_plus,1,1,0.99999999999999922,8.5322506262290055e-16,2.3769205430555512e-15,64,45,5,0,0,2.3769205430555512e-15,15897941441451636469,PASS
16,12,4,712041,85,mirrored_theorem_z2_plus,1,1,0.99999999999999867,7.9352384474305067e-16,2.2237384450558443e-15,64,46,8,0,0,2.2237384450558443e-15,15059276345305977431,PASS
16,12,4,712041,86,mirrored_theorem_z2_plus,1,1,0.99999999999999833,9.8950703467815808e-16,2.8727604604623684e-15,64,44,10,0,0,2.8727604604623684e-15,12170035736998683291,PASS
16,12,4,712041,87,mirrored_theorem_z2_plus,1,1,0.99999999999999922,7.8008821970629904e-16,2.2415558691632292e-15,64,46,4,0,0,2.2415558691632292e-15,8778290272863816519,PASS
16,12,4,712041,88,mirrored_theorem_z2_plus,1,1,0.999999999999999,9.3664877335979564e-16,2.575746379315712e-15,64,43,7,0,0,2.575746379315712e-15,18140906185630781029,PASS
16,12,4,712041,89,mirrored_theorem_z2_plus,1,1,0.99999999999999933,8.4382542752332453e-16,2.3426685964341721e-15,64,43,11,0,0,2.3426685964341721e-15,13301414609096148109,PASS
16,12,4,712041,90,mirrored_theorem_z2_plus,1,1,0.99999999999999867,7.966893916962911e-16,2.2187972882827127e-15,64,44,10,0,0,2.2187972882827127e-15,14256168647319893139,PASS
16,12,4,712041,91,mirrored_theorem_z2_plus,1,1,0.999999999999999,9.1480707409454319e-16,2.5744462274762665e-15,64,49,7,0,0,2.5744462274762665e-15,12710368011936624217,PASS
16,12,4,712041,92,mirrored_theorem_z2_plus,1,1,0.99999999999999933,8.7319274178962769e-16,2.3908574738625427e-15,64,50,4,0,0,2.3908574738625427e-15,9111743204185756323,PASS
16,12,4,712041,93,mirrored_theorem_z2_plus,1,1,0.999999999999999,8.1613973923544896e-16,2.272386337561069e-15,64,50,6,0,0,2.272386337561069e-15,10306771524050383543,PASS
16,12,4,712041,94,mirrored_theorem_z2_plus,1,1,0.999999999999999,7.9628596287053271e-16,2.2816671709558126e-15,64,47,5,0,0,2.2816671709558126e-15,16675326226383048721,PASS
16,12,4,712041,95,mirrored_theorem_z2_plus,1,1,0.99999999999999933,7.8520940921794223e-16,2.2594764538051672e-15,64,56,4,0,0,2.2594764538051672e-15,14016415318008237379,PASS
16,12,4,712041,96,mirrored_theorem_z2_plus,1,1,0.99999999999999956,6.8941338039237042e-16,1.9880418625656118e-15,64,39,11,0,0,1.9880418625656118e-15,10323101161807340005,PASS
16,12,4,712041,97,mirrored_theorem_z2_plus,1,1,0.99999999999999922,7.4443994793090475e-16,2.091556400647592e-15,64,39,5,0,0,2.091556400647592e-15,3542542345452134285,PASS
16,12,4,712041,98,mirrored_theorem_z2_plus,1,1,0.999999999999999,8.5805982028502088e-16,2.3601386288540533e-15,64,50,6,0,0,2.3601386288540533e-15,12521885044996694171,PASS
16,12,4,712041,99,mirrored_theorem_z2_plus,1,1,0.99999999999999933,7.9518062360701169e-16,2.2541297826495123e-15,64,50,6,0,0,2.2541297826495123e-15,16365788468415789115,PASS
16,12,4,712041,100,mirrored_theorem_z2_plus,1,1,0.999999999999999,8.6697280095483443e-16,2.355039025479208e-15,64,48,6,0,0,2.355039025479208e-15,6281572933418708427,PASS
16,12,4,712041,101,mirrored_theorem_z2_plus,1,1,0.99999999999999933,8.7995654340624275e-16,2.5410670212326881e-15,64,40,8,0,0,2.5410670212326881e-15,11069828262396648647,PASS
16,12,4,712041,102,mirrored_theorem_z2_plus,1,1,0.99999999999999911,8.7640181688504661e-16,2.4271788658177304e-15,64,47,11,0,0,2.4271788658177304e-15,681935638376504673,PASS
16,12,4,712041,103,mirrored_theorem_z2_plus,1,1,0.999999999999999,1.1118181626534397e-15,3.1613726513817714e-15,64,42,8,0,0,3.1613726513817714e-15,1586743114213806819,PASS
16,12,4,712041,104,mirrored_theorem_z2_plus,1,1,0.999999999999999,8.1051422375100605e-16,2.1909974572737464e-15,64,36,8,0,0,2.1909974572737464e-15,12216015831235930003,PASS
