task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,stabilization_interval,guard,diagnostic_stride,sign_stride,output_dir
19,gaussian_exact,10,0,10,8,0.1,0.5,0.7,1,0,760020,0,0,10,0,1,20,raw/gaussian_exact/task_0019_s760020
20,gaussian_exact,10,0,10,8,0.1,1,0,1,0,760021,0,0,10,0,1,20,raw/gaussian_exact/task_0020_s760021
21,gaussian_exact,10,0,10,8,0.1,1,0.7,1,0,760022,0,0,10,0,1,20,raw/gaussian_exact/task_0021_s760022
22,gaussian_exact,10,0,10,8,0.1,1.3,0,1,0,760023,0,0,10,0,1,20,raw/gaussian_exact/task_0022_s760023
23,gaussian_exact,10,0,10,8,0.1,1.3,0.7,1,0,760024,0,0,10,0,1,20,raw/gaussian_exact/task_0023_s760024
24,gaussian_exact,20,0,10,8,0.1,0.5,0,0,0,760025,0,0,10,0,1,20,raw/gaussian_exact/task_0024_s760025
25,gaussian_exact,20,0,10,8,0.1,0.5,0.7,0,0,760026,0,0,10,0,1,20,raw/gaussian_exact/task_0025_s760026
26,gaussian_exact,20,0,10,8,0.1,1,0,0,0,760027,0,0,10,0,1,20,raw/gaussian_exact/task_0026_s760027
27,gaussian_exact,20,0,10,8,0.1,1,0.7,0,0,760028,0,0,10,0,1,20,raw/gaussian_exact/task_0027_s760028
28,gaussian_exact,20,0,10,8,0.1,1.3,0,0,0,760029,0,0,10,0,1,20,raw/gaussian_exact/task_0028_s760029
29,gaussian_exact,20,0,10,8,0.1,1.3,0.7,0,0,760030,0,0,10,0,1,20,raw/gaussian_exact/task_0029_s760030
30,gaussian_exact,20,0,10,8,0.1,0.5,0,1,0,760031,0,0,10,0,1,20,raw/gaussian_exact/task_0030_s760031
31,gaussian_exact,20,0,10,8,0.1,0.5,0.7,1,0,760032,0,0,10,0,1,20,raw/gaussian_exact/task_0031_s760032
32,gaussian_exact,20,0,10,8,0.1,1,0,1,0,760033,0,0,10,0,1,20,raw/gaussian_exact/task_0032_s760033
33,gaussian_exact,20,0,10,8,0.1,1,0.7,1,0,760034,0,0,10,0,1,20,raw/gaussian_exact/task_0033_s760034
34,gaussian_exact,20,0,10,8,0.1,1.3,0,1,0,760035,0,0,10,0,1,20,raw/gaussian_exact/task_0034_s760035
35,gaussian_exact,20,0,10,8,0.1,1.3,0.7,1,0,760036,0,0,10,0,1,20,raw/gaussian_exact/task_0035_s760036
36,gaussian_exact,40,0,10,8,0.1,0.5,0,0,0,760037,0,0,10,0,1,20,raw/gaussian_exact/task_0036_s760037
37,gaussian_exact,40,0,10,8,0.1,0.5,0.7,0,0,760038,0,0,10,0,1,20,raw/gaussian_exact/task_0037_s760038
38,gaussian_exact,40,0,10,8,0.1,1,0,0,0,760039,0,0,10,0,1,20,raw/gaussian_exact/task_0038_s760039
39,gaussian_exact,40,0,10,8,0.1,1,0.7,0,0,760040,0,0,10,0,1,20,raw/gaussian_exact/task_0039_s760040
40,gaussian_exact,40,0,10,8,0.1,1.3,0,0,0,760041,0,0,10,0,1,20,raw/gaussian_exact/task_0040_s760041
