task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,threads,adaptive_guard,guard_threshold,multiprecision_fallback,full_rebuild_diagnostic,diagnostic_stride,stabilization_interval,sign_recompute_stride,output_dir,source_result_path,source_task_id,code_version
45,guard_off_theta_convergence,10,2.0,8,8,0.1,1,0,0,0,990010,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_045_L10_V2.0_th8_bt8_dt0.1_s990010,,,source_identifier:PfQMC-main_20260821
46,guard_off_theta_convergence,10,2.0,8,8,0.1,1,0,0,0,990011,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_046_L10_V2.0_th8_bt8_dt0.1_s990011,,,source_identifier:PfQMC-main_20260821
47,guard_off_theta_convergence,10,2.0,8,8,0.1,1,0,0,0,990012,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_047_L10_V2.0_th8_bt8_dt0.1_s990012,,,source_identifier:PfQMC-main_20260821
48,guard_off_theta_convergence,10,2.0,10,8,0.1,1,0,0,0,990001,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_048_L10_V2.0_th10_bt8_dt0.1_s990001,,,source_identifier:PfQMC-main_20260821
49,guard_off_theta_convergence,10,2.0,10,8,0.1,1,0,0,0,990002,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_049_L10_V2.0_th10_bt8_dt0.1_s990002,,,source_identifier:PfQMC-main_20260821
50,guard_off_theta_convergence,10,2.0,10,8,0.1,1,0,0,0,990003,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_050_L10_V2.0_th10_bt8_dt0.1_s990003,,,source_identifier:PfQMC-main_20260821
51,guard_off_theta_convergence,10,2.0,10,8,0.1,1,0,0,0,990004,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_051_L10_V2.0_th10_bt8_dt0.1_s990004,,,source_identifier:PfQMC-main_20260821
52,guard_off_theta_convergence,10,2.0,10,8,0.1,1,0,0,0,990005,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_052_L10_V2.0_th10_bt8_dt0.1_s990005,,,source_identifier:PfQMC-main_20260821
53,guard_off_theta_convergence,10,2.0,10,8,0.1,1,0,0,0,990006,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_053_L10_V2.0_th10_bt8_dt0.1_s990006,,,source_identifier:PfQMC-main_20260821
54,guard_off_theta_convergence,10,2.0,10,8,0.1,1,0,0,0,990007,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_054_L10_V2.0_th10_bt8_dt0.1_s990007,,,source_identifier:PfQMC-main_20260821
55,guard_off_theta_convergence,10,2.0,10,8,0.1,1,0,0,0,990008,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_055_L10_V2.0_th10_bt8_dt0.1_s990008,,,source_identifier:PfQMC-main_20260821
56,guard_off_theta_convergence,10,2.0,10,8,0.1,1,0,0,0,990009,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_056_L10_V2.0_th10_bt8_dt0.1_s990009,,,source_identifier:PfQMC-main_20260821
57,guard_off_theta_convergence,10,2.0,10,8,0.1,1,0,0,0,990010,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_057_L10_V2.0_th10_bt8_dt0.1_s990010,,,source_identifier:PfQMC-main_20260821
58,guard_off_theta_convergence,10,2.0,10,8,0.1,1,0,0,0,990011,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_058_L10_V2.0_th10_bt8_dt0.1_s990011,,,source_identifier:PfQMC-main_20260821
59,guard_off_theta_convergence,10,2.0,10,8,0.1,1,0,0,0,990012,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_059_L10_V2.0_th10_bt8_dt0.1_s990012,,,source_identifier:PfQMC-main_20260821
60,guard_off_theta_convergence,10,2.0,12,8,0.1,1,0,0,0,990001,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_060_L10_V2.0_th12_bt8_dt0.1_s990001,,,source_identifier:PfQMC-main_20260821
61,guard_off_theta_convergence,10,2.0,12,8,0.1,1,0,0,0,990002,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_061_L10_V2.0_th12_bt8_dt0.1_s990002,,,source_identifier:PfQMC-main_20260821
62,guard_off_theta_convergence,10,2.0,12,8,0.1,1,0,0,0,990003,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_062_L10_V2.0_th12_bt8_dt0.1_s990003,,,source_identifier:PfQMC-main_20260821
63,guard_off_theta_convergence,10,2.0,12,8,0.1,1,0,0,0,990004,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_063_L10_V2.0_th12_bt8_dt0.1_s990004,,,source_identifier:PfQMC-main_20260821
64,guard_off_theta_convergence,10,2.0,12,8,0.1,1,0,0,0,990005,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_064_L10_V2.0_th12_bt8_dt0.1_s990005,,,source_identifier:PfQMC-main_20260821
65,guard_off_theta_convergence,10,2.0,12,8,0.1,1,0,0,0,990006,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_065_L10_V2.0_th12_bt8_dt0.1_s990006,,,source_identifier:PfQMC-main_20260821
66,guard_off_theta_convergence,10,2.0,12,8,0.1,1,0,0,0,990007,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_066_L10_V2.0_th12_bt8_dt0.1_s990007,,,source_identifier:PfQMC-main_20260821
67,guard_off_theta_convergence,10,2.0,12,8,0.1,1,0,0,0,990008,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_067_L10_V2.0_th12_bt8_dt0.1_s990008,,,source_identifier:PfQMC-main_20260821
68,guard_off_theta_convergence,10,2.0,12,8,0.1,1,0,0,0,990009,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_068_L10_V2.0_th12_bt8_dt0.1_s990009,,,source_identifier:PfQMC-main_20260821
69,guard_off_theta_convergence,10,2.0,12,8,0.1,1,0,0,0,990010,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_069_L10_V2.0_th12_bt8_dt0.1_s990010,,,source_identifier:PfQMC-main_20260821
70,guard_off_theta_convergence,10,2.0,12,8,0.1,1,0,0,0,990011,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_070_L10_V2.0_th12_bt8_dt0.1_s990011,,,source_identifier:PfQMC-main_20260821
71,guard_off_theta_convergence,10,2.0,12,8,0.1,1,0,0,0,990012,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_071_L10_V2.0_th12_bt8_dt0.1_s990012,,,source_identifier:PfQMC-main_20260821
