beta_trial,seed,S_pi,S_pi_err,S_pi_dq,S_pi_dq_err,R_cdw,R_cdw_err,average_sign,acceptance,runtime_seconds,max_sign_imag,max_observable_imag,sign_corrections,raw_path,trial_slices,min_update_denominator,guard_trigger_fraction
2,990211,0.04503276034937575,0.0003701643994655958,0.03527760209434966,0.00017581054265259025,0.21662359090011496,0.0058371216657288,0.8788,0.74594725,307.69254975,2.8122250014379254e-10,8.98242353279587e-15,0,task_010_L10_V2_th10_bt2_dt0.1_s990211,20,inf,0
2,990212,0.044723512582752985,0.00042700540504347033,0.03514535800834456,0.00020090146371081323,0.2141637367298853,0.006281368679193675,0.8704,0.7458349,326.223539399,6.583424660779124e-10,1.3385996059878986e-14,0,task_011_L10_V2_th10_bt2_dt0.1_s990212,20,inf,0
4,990201,0.04682821976534339,0.0022750350718548544,0.034316801576171216,0.0008955891189691474,0.267176891452782,0.03100568751645799,0.876,0.7457109,301.357109258,6.187935845085368e-10,4.8208004973256224e-14,0,task_012_L10_V2_th10_bt4_dt0.1_s990201,40,inf,0
4,990202,0.04467455782888056,0.0007998766153988256,0.03552397473780105,0.00024165131907205126,0.20482761410039008,0.02454995989892462,0.8808,0.74581645,318.198619471,1.222975783525561e-09,3.2634427063533283e-12,0,task_013_L10_V2_th10_bt4_dt0.1_s990202,40,inf,0
4,990203,0.04645662834587014,0.0006439740940792187,0.03534842627590444,0.00015580617120062505,0.23910908874542092,0.009887550495735227,0.8712,0.7457711,313.588767534,8.945329932305794e-10,4.824461779105407e-15,0,task_014_L10_V2_th10_bt4_dt0.1_s990203,40,inf,0
4,990204,0.04575148530825887,0.00031061571190694814,0.03534566638175369,7.959177522170073e-05,0.2274422099390676,0.0048164690853474005,0.8892,0.7456942,312.107891175,2.1653816431572095e-09,3.923422412542027e-15,0,task_015_L10_V2_th10_bt4_dt0.1_s990204,40,inf,0
4,990205,0.0453421976997291,0.0006182460786415288,0.035568461145571655,0.0003358790275279572,0.21555498079035196,0.018023411407228553,0.8792,0.74567175,309.353472764,1.4110677260345306e-10,5.488993567545677e-14,0,task_016_L10_V2_th10_bt4_dt0.1_s990205,40,inf,0
4,990206,0.045585103167855474,0.0002950410738426322,0.035446901818932945,0.00016150971271774046,0.22240163220846942,0.0042124218071869345,0.8704,0.74572765,296.937467259,3.269123444635124e-09,1.559326588710244e-14,0,task_017_L10_V2_th10_bt4_dt0.1_s990206,40,inf,0
4,990207,0.04607949724235959,0.0007148920631456591,0.035644511102156384,0.00021670161979608178,0.22645616303753013,0.008026842064480191,0.8776,0.7457865,311.378538385,5.377209101287413e-10,6.247225746048382e-15,0,task_018_L10_V2_th10_bt4_dt0.1_s990207,40,inf,0
4,990208,0.04532482160997963,0.00037486557244760624,0.03524358278781742,0.00013867212051421794,0.222422029785607,0.007156558825575006,0.8704,0.74571745,314.732867287,4.251183195953557e-10,6.569064776469306e-14,0,task_019_L10_V2_th10_bt4_dt0.1_s990208,40,inf,0
