comparison,L,V,theta,delta,mu,boundary,observable,left,right,difference
tiny_enum_vs_ed,2,4,0.2,0.6,0.7,1,R_cdw,0.5614824257996858,0.5614824257996864,-6.661338147750939e-16
tiny_enum_vs_ed,2,4,0.2,1,0,1,S_pi,0.1724936202819032,0.17249362028190313,8.326672684688674e-17
tiny_enum_vs_ed,2,4,0.2,1,0,1,S_pi_dq,0.07750637971809701,0.07750637971809686,1.5265566588595902e-16
tiny_enum_vs_ed,2,4,0.2,1,0,1,R_cdw,0.550671035882778,0.5506710358827787,-6.661338147750939e-16
tiny_enum_vs_ed,2,4,0.2,1,0.7,1,S_pi,0.16831456257323923,0.16831456257323932,-8.326672684688674e-17
tiny_enum_vs_ed,2,4,0.2,1,0.7,1,S_pi_dq,0.08168543742676057,0.08168543742676068,-1.1102230246251565e-16
tiny_enum_vs_ed,2,4,0.2,1,0.7,1,R_cdw,0.5146858585619023,0.5146858585619019,4.440892098500626e-16
tiny_enum_vs_ed,4,2,0.1,0.6,0,0,S_pi,0.07863058710251801,0.07863058710251801,0.0
tiny_enum_vs_ed,4,2,0.1,0.6,0,0,S_pi_dq,0.06107712422315709,0.06107712422315707,1.3877787807814457e-17
tiny_enum_vs_ed,4,2,0.1,0.6,0,0,R_cdw,0.22323962628531369,0.2232396262853138,-1.1102230246251565e-16
tiny_enum_vs_ed,4,2,0.1,0.6,0.7,0,S_pi,0.07746186732964783,0.07746186732964784,-1.3877787807814457e-17
tiny_enum_vs_ed,4,2,0.1,0.6,0.7,0,S_pi_dq,0.060451858741460376,0.06045185874146039,-1.3877787807814457e-17
tiny_enum_vs_ed,4,2,0.1,0.6,0.7,0,R_cdw,0.21959202862744598,0.21959202862744598,0.0
tiny_enum_vs_ed,4,2,0.1,1,0,0,S_pi,0.07520212670962688,0.07520212670962682,5.551115123125783e-17
tiny_enum_vs_ed,4,2,0.1,1,0,0,S_pi_dq,0.06142096041620819,0.06142096041620815,4.163336342344337e-17
tiny_enum_vs_ed,4,2,0.1,1,0,0,R_cdw,0.18325500748976176,0.18325500748976176,0.0
tiny_enum_vs_ed,4,2,0.1,1,0.7,0,S_pi,0.07410237221925742,0.07410237221925738,4.163336342344337e-17
tiny_enum_vs_ed,4,2,0.1,1,0.7,0,S_pi_dq,0.060802310240825184,0.06080231024082513,5.551115123125783e-17
tiny_enum_vs_ed,4,2,0.1,1,0.7,0,R_cdw,0.1794822700018215,0.1794822700018217,-2.220446049250313e-16
tiny_enum_vs_ed,4,4,0.1,0.6,0,0,S_pi,0.09449969656786139,0.09449969656786145,-5.551115123125783e-17
tiny_enum_vs_ed,4,4,0.1,0.6,0,0,S_pi_dq,0.0575277647876134,0.05752776478761333,6.938893903907228e-17
tiny_enum_vs_ed,4,4,0.1,0.6,0,0,R_cdw,0.39123862957272026,0.3912386295727214,-1.1102230246251565e-15
tiny_enum_vs_ed,4,4,0.1,0.6,0.7,0,S_pi,0.09328622302682739,0.09328622302682756,-1.6653345369377348e-16
tiny_enum_vs_ed,4,4,0.1,0.6,0.7,0,S_pi_dq,0.05722821851870586,0.057228218518705964,-1.0408340855860843e-16
tiny_enum_vs_ed,4,4,0.1,0.6,0.7,0,R_cdw,0.3865308653106463,0.3865308653106463,0.0
tiny_enum_vs_ed,4,4,0.1,1,0,0,S_pi,0.0904180539273494,0.09041805392734953,-1.249000902703301e-16
tiny_enum_vs_ed,4,4,0.1,1,0,0,S_pi_dq,0.05825708410251538,0.05825708410251536,2.0816681711721685e-17
tiny_enum_vs_ed,4,4,0.1,1,0,0,R_cdw,0.35569190474587353,0.35569190474587475,-1.2212453270876722e-15
tiny_enum_vs_ed,4,4,0.1,1,0.7,0,S_pi,0.08927109307384404,0.08927109307384395,8.326672684688674e-17
tiny_enum_vs_ed,4,4,0.1,1,0.7,0,S_pi_dq,0.0579479902488043,0.05794799024880425,4.85722573273506e-17
tiny_enum_vs_ed,4,4,0.1,1,0.7,0,R_cdw,0.35087621027704474,0.35087621027704474,0.0
tiny_enum_vs_ed,4,2,0.1,0.6,0,1,S_pi,0.07450102136169376,0.0745010213616937,5.551115123125783e-17
tiny_enum_vs_ed,4,2,0.1,0.6,0,1,S_pi_dq,0.061765541675538535,0.06176554167553848,5.551115123125783e-17
tiny_enum_vs_ed,4,2,0.1,0.6,0,1,R_cdw,0.1709436924941734,0.17094369249417352,-1.1102230246251565e-16
tiny_enum_vs_ed,4,2,0.1,0.6,0.7,1,S_pi,0.0733280812222284,0.07332808122222821,1.942890293094024e-16
tiny_enum_vs_ed,4,2,0.1,0.6,0.7,1,S_pi_dq,0.06101446678222399,0.06101446678222386,1.3183898417423734e-16
tiny_enum_vs_ed,4,2,0.1,0.6,0.7,1,R_cdw,0.1679249509159625,0.16792495091596205,4.440892098500626e-16
tiny_enum_vs_ed,4,2,0.1,1,0,1,S_pi,0.07202769936120038,0.07202769936120032,5.551115123125783e-17
tiny_enum_vs_ed,4,2,0.1,1,0,1,S_pi_dq,0.06193838544893062,0.06193838544893057,4.85722573273506e-17
