comparison,L,V,theta,delta,mu,boundary,observable,left,right,difference
tiny_enum_vs_ed,4,2,0.2,0.6,0.7,1,R_cdw,0.29692210009053355,0.29692210009053355,0.0
tiny_enum_vs_ed,4,2,0.2,1,0.7,1,S_pi,0.07883413704210378,0.07883413704210365,1.249000902703301e-16
tiny_enum_vs_ed,4,2,0.2,1,0.7,1,S_pi_dq,0.059686989821057516,0.05968698982105744,7.632783294297951e-17
tiny_enum_vs_ed,4,2,0.2,1,0.7,1,R_cdw,0.2428788839385677,0.24287888393856738,3.3306690738754696e-16
tiny_enum_vs_ed,4,4,0.2,0.6,0.7,1,S_pi,0.10636388944044618,0.10636388944044597,2.0816681711721685e-16
tiny_enum_vs_ed,4,4,0.2,0.6,0.7,1,S_pi_dq,0.05408662769193826,0.05408662769193817,9.020562075079397e-17
tiny_enum_vs_ed,4,4,0.2,0.6,0.7,1,R_cdw,0.49149445383696966,0.49149445383696955,1.1102230246251565e-16
tiny_enum_vs_ed,4,4,0.2,1,0.7,1,S_pi,0.10070055213071655,0.10070055213071655,0.0
tiny_enum_vs_ed,4,4,0.2,1,0.7,1,S_pi_dq,0.05520627194062435,0.05520627194062426,9.020562075079397e-17
tiny_enum_vs_ed,4,4,0.2,1,0.7,1,R_cdw,0.45177786245935725,0.45177786245935814,-8.881784197001252e-16
V0_qmc_vs_gaussian,6,0,10,0.5,0,0,S_pi,0.059523809523809534,0.05952380952380946,7.632783294297951e-17
V0_qmc_vs_gaussian,6,0,10,0.5,0,0,S_pi_dq,0.04877580405606819,0.048775804056068156,3.469446951953614e-17
V0_qmc_vs_gaussian,6,0,10,0.5,0,0,R_cdw,0.1805664918580545,0.18056649185805407,4.440892098500626e-16
V0_qmc_vs_gaussian,6,0,10,0.5,0.7,0,S_pi,0.051742980465012814,0.05174298046501281,6.938893903907228e-18
V0_qmc_vs_gaussian,6,0,10,0.5,0.7,0,S_pi_dq,0.04469956870246182,0.0446995687024618,2.0816681711721685e-17
V0_qmc_vs_gaussian,6,0,10,0.5,0.7,0,R_cdw,0.13612303928478875,0.13612303928478897,-2.220446049250313e-16
V0_qmc_vs_gaussian,6,0,10,1,0,0,S_pi,0.04166666666666665,0.041666666666666664,-1.3877787807814457e-17
V0_qmc_vs_gaussian,6,0,10,1,0,0,S_pi_dq,0.04166666666666666,0.04166666666666666,0.0
V0_qmc_vs_gaussian,6,0,10,1,0,0,R_cdw,-2.220446049250313e-16,2.220446049250313e-16,-4.440892098500626e-16
V0_qmc_vs_gaussian,6,0,10,1,0.7,0,S_pi,0.03934268335972904,0.03934268335972904,0.0
V0_qmc_vs_gaussian,6,0,10,1,0.7,0,S_pi_dq,0.03987690047378266,0.03987690047378264,2.0816681711721685e-17
V0_qmc_vs_gaussian,6,0,10,1,0.7,0,R_cdw,-0.013578563240565389,-0.013578563240564723,-6.661338147750939e-16
V0_qmc_vs_gaussian,6,0,10,1.3,0,0,S_pi,0.036930258099945094,0.036930258099945094,0.0
V0_qmc_vs_gaussian,6,0,10,1.3,0,0,S_pi_dq,0.03905242997872501,0.03905242997872499,2.0816681711721685e-17
V0_qmc_vs_gaussian,6,0,10,1.3,0,0,R_cdw,-0.05746431213766878,-0.057464312137668117,-6.661338147750939e-16
V0_qmc_vs_gaussian,6,0,10,1.3,0.7,0,S_pi,0.03579127740704055,0.03579127740704047,8.326672684688674e-17
V0_qmc_vs_gaussian,6,0,10,1.3,0.7,0,S_pi_dq,0.037980786947304564,0.03798078694730453,3.469446951953614e-17
V0_qmc_vs_gaussian,6,0,10,1.3,0.7,0,R_cdw,-0.06117438937324193,-0.061174389373243265,1.3322676295501878e-15
V0_qmc_vs_gaussian,6,0,10,0.5,0,1,S_pi,0.060651732842860386,0.06065173284286049,-1.0408340855860843e-16
V0_qmc_vs_gaussian,6,0,10,0.5,0,1,S_pi_dq,0.04970757676140026,0.0497075767614004,-1.3877787807814457e-16
V0_qmc_vs_gaussian,6,0,10,0.5,0,1,R_cdw,0.18044259526458717,0.18044259526458628,8.881784197001252e-16
V0_qmc_vs_gaussian,6,0,10,0.5,0.7,1,S_pi,0.049774010721161534,0.04977401072116155,-1.3877787807814457e-17
V0_qmc_vs_gaussian,6,0,10,0.5,0.7,1,S_pi_dq,0.046778176454412186,0.046778176454412145,4.163336342344337e-17
V0_qmc_vs_gaussian,6,0,10,0.5,0.7,1,R_cdw,0.06018872546824239,0.0601887254682435,-1.1102230246251565e-15
V0_qmc_vs_gaussian,6,0,10,1,0,1,S_pi,0.04166666666666665,0.041666666666666664,-1.3877787807814457e-17
V0_qmc_vs_gaussian,6,0,10,1,0,1,S_pi_dq,0.04166666666666665,0.041666666666666664,-1.3877787807814457e-17
V0_qmc_vs_gaussian,6,0,10,1,0,1,R_cdw,0,0,0.0
V0_qmc_vs_gaussian,6,0,10,1,0.7,1,S_pi,0.03684291305251618,0.03684291305251613,4.85722573273506e-17
V0_qmc_vs_gaussian,6,0,10,1,0.7,1,S_pi_dq,0.038012255395852144,0.0380122553958521,4.163336342344337e-17
V0_qmc_vs_gaussian,6,0,10,1,0.7,1,R_cdw,-0.031738596284967446,-0.03173859628496767,2.220446049250313e-16
V0_qmc_vs_gaussian,6,0,10,1.3,0,1,S_pi,0.035261612097939876,0.03526161209793975,1.249000902703301e-16
V0_qmc_vs_gaussian,6,0,10,1.3,0,1,S_pi_dq,0.03851251268964094,0.038512512689640815,1.249000902703301e-16
V0_qmc_vs_gaussian,6,0,10,1.3,0,1,R_cdw,-0.09219375968040322,-0.09219375968040344,2.220446049250313e-16
V0_qmc_vs_gaussian,6,0,10,1.3,0.7,1,S_pi,0.03018810135364679,0.03018810135364688,-9.020562075079397e-17
V0_qmc_vs_gaussian,6,0,10,1.3,0.7,1,S_pi_dq,0.03471296967366237,0.03471296967366247,-9.71445146547012e-17
V0_qmc_vs_gaussian,6,0,10,1.3,0.7,1,R_cdw,-0.1498891323772824,-0.14988913237728219,-2.220446049250313e-16
V0_qmc_vs_gaussian,10,0,10,0.5,0,0,S_pi,0.03360655737704942,0.03360655737704941,1.3877787807814457e-17
V0_qmc_vs_gaussian,10,0,10,0.5,0,0,S_pi_dq,0.03165751938666094,0.03165751938666094,0.0
V0_qmc_vs_gaussian,10,0,10,0.5,0,0,R_cdw,0.05799576459204703,0.057995764592046695,3.3306690738754696e-16
V0_qmc_vs_gaussian,10,0,10,0.5,0.7,0,S_pi,0.030311865013654023,0.03031186501365403,-6.938893903907228e-18
V0_qmc_vs_gaussian,10,0,10,0.5,0.7,0,S_pi_dq,0.029254002936423894,0.029254002936423936,-4.163336342344337e-17
V0_qmc_vs_gaussian,10,0,10,0.5,0.7,0,R_cdw,0.0348992738240822,0.03489927382408098,1.2212453270876722e-15
V0_qmc_vs_gaussian,10,0,10,1,0,0,S_pi,0.025000000000000005,0.025,3.469446951953614e-18
V0_qmc_vs_gaussian,10,0,10,1,0,0,S_pi_dq,0.025000000000000005,0.025,3.469446951953614e-18
V0_qmc_vs_gaussian,10,0,10,1,0,0,R_cdw,0,0,0.0
