kind,comparison,seed,bin,metric,value_a,value_b,difference_b_minus_a,sign_z_a,sign_z_b,bin_pair_valid
guard,V6_off_vs_on,740014,16,S_pi_dq,0.008402747613285974,0.13403547930709153,0.12563273169380557,1.9785383800954366,3.745346590823331,0
guard,V6_off_vs_on,740014,16,R_cdw,0.8693268020151088,2.0171711171482816,1.1478443151331728,1.9785383800954366,3.745346590823331,0
guard,V6_off_vs_on,740014,17,S_pi,0.3308330831193219,-0.3552068205512745,-0.6860399036705964,1.8098667720465336,1.6422035742213936,0
guard,V6_off_vs_on,740014,17,S_pi_dq,0.06232041626396652,0.21653960737313435,0.15421919110916782,1.8098667720465336,1.6422035742213936,0
guard,V6_off_vs_on,740014,17,R_cdw,0.8116258033314965,1.6096155671703287,0.7979897638388322,1.8098667720465336,1.6422035742213936,0
guard,V6_off_vs_on,740014,18,S_pi,0.43497810754495075,0.14217928758341392,-0.29279881996153684,1.8098667720465336,2.6654246812857756,0
guard,V6_off_vs_on,740014,18,S_pi_dq,-0.08661397762418613,0.04256294830620383,0.12917692593038996,1.8098667720465336,2.6654246812857756,0
guard,V6_off_vs_on,740014,18,R_cdw,1.1991226135794326,0.7006388973412674,-0.49848371623816523,1.8098667720465336,2.6654246812857756,0
guard,V6_off_vs_on,740014,19,S_pi,0.37629244681026125,0.28111836694882164,-0.09517407986143961,0.32562394774651304,2.148321652768427,0
guard,V6_off_vs_on,740014,19,S_pi_dq,-0.020861542585693078,0.08247698287720785,0.10333852546290093,0.32562394774651304,2.148321652768427,0
guard,V6_off_vs_on,740014,19,R_cdw,1.0554397059056893,0.7066111909641855,-0.3488285149415038,0.32562394774651304,2.148321652768427,0
guard,V6_off_vs_on,740015,0,S_pi,0.2004596414538099,0.2004596414538099,0.0,2.148321652768427,2.148321652768427,0
guard,V6_off_vs_on,740015,0,S_pi_dq,0.0046431977426814935,0.0046431977426814935,0.0,2.148321652768427,2.148321652768427,0
guard,V6_off_vs_on,740015,0,R_cdw,0.9768372441005718,0.9768372441005718,0.0,2.148321652768427,2.148321652768427,0
guard,V6_off_vs_on,740015,1,S_pi,0.4481283336816128,0.4481283336816128,0.0,1.6422035742213936,1.6422035742213936,0
guard,V6_off_vs_on,740015,1,S_pi_dq,-0.16176396477531765,-0.16176396477531765,0.0,1.6422035742213936,1.6422035742213936,0
guard,V6_off_vs_on,740015,1,R_cdw,1.3609768734021805,1.3609768734021805,0.0,1.6422035742213936,1.6422035742213936,0
guard,V6_off_vs_on,740015,2,S_pi,0.1712802519271364,0.1712802519271364,0.0,1.4754484240216774,1.4754484240216774,0
guard,V6_off_vs_on,740015,2,S_pi_dq,0.029590403488422862,0.029590403488422862,0.0,1.4754484240216774,1.4754484240216774,0
guard,V6_off_vs_on,740015,2,R_cdw,0.8272398413974147,0.8272398413974147,0.0,1.4754484240216774,1.4754484240216774,0
guard,V6_off_vs_on,740015,3,S_pi,0.17525219974274903,0.17525219974274903,0.0,1.6422035742213936,1.6422035742213936,0
guard,V6_off_vs_on,740015,3,S_pi_dq,0.01424252402081957,0.01424252402081957,0.0,1.6422035742213936,1.6422035742213936,0
guard,V6_off_vs_on,740015,3,R_cdw,0.9187312681853579,0.9187312681853579,0.0,1.6422035742213936,1.6422035742213936,0
guard,V6_off_vs_on,740015,4,S_pi,0.1703658488777528,0.1703658488777528,0.0,1.3095035305387446,1.3095035305387446,0
guard,V6_off_vs_on,740015,4,S_pi_dq,0.08737850271367155,0.08737850271367155,0.0,1.3095035305387446,1.3095035305387446,0
guard,V6_off_vs_on,740015,4,R_cdw,0.48711256810412396,0.48711256810412396,0.0,1.3095035305387446,1.3095035305387446,0
guard,V6_off_vs_on,740015,5,S_pi,0.31124967560573663,0.31124967560573663,0.0,2.4916527312876755,2.4916527312876755,0
guard,V6_off_vs_on,740015,5,S_pi_dq,-0.013527171631278938,-0.013527171631278938,0.0,2.4916527312876755,2.4916527312876755,0
guard,V6_off_vs_on,740015,5,R_cdw,1.0434608376858647,1.0434608376858647,0.0,2.4916527312876755,2.4916527312876755,0
guard,V6_off_vs_on,740015,6,S_pi,0.09099224691337676,0.09099224691337676,0.0,1.8098667720465336,1.8098667720465336,0
guard,V6_off_vs_on,740015,6,S_pi_dq,0.06223758686747163,0.06223758686747163,0.0,1.8098667720465336,1.8098667720465336,0
guard,V6_off_vs_on,740015,6,R_cdw,0.3160121990753688,0.3160121990753688,0.0,1.8098667720465336,1.8098667720465336,0
guard,V6_off_vs_on,740015,7,S_pi,0.24758516745797293,0.24758516745797293,0.0,3.5602453879223304,3.5602453879223304,1
guard,V6_off_vs_on,740015,7,S_pi_dq,-0.028180435451642616,-0.028180435451642616,0.0,3.5602453879223304,3.5602453879223304,1
guard,V6_off_vs_on,740015,7,R_cdw,1.1138211781464098,1.1138211781464098,0.0,3.5602453879223304,3.5602453879223304,1
guard,V6_off_vs_on,740015,8,S_pi,1.893259247124296,1.893259247124296,0.0,0.1627685438345503,0.1627685438345503,0
guard,V6_off_vs_on,740015,8,S_pi_dq,-0.29828228208839297,-0.29828228208839297,0.0,0.1627685438345503,0.1627685438345503,0
guard,V6_off_vs_on,740015,8,R_cdw,1.157549623772581,1.157549623772581,0.0,0.1627685438345503,0.1627685438345503,0
guard,V6_off_vs_on,740015,9,S_pi,0.12526745561493416,0.12526745561493416,0.0,0.6519441692793733,0.6519441692793733,0
guard,V6_off_vs_on,740015,9,S_pi_dq,-0.0189927944210092,-0.0189927944210092,0.0,0.6519441692793733,0.6519441692793733,0
guard,V6_off_vs_on,740015,9,R_cdw,1.1516179467985053,1.1516179467985053,0.0,0.6519441692793733,0.6519441692793733,0
guard,V6_off_vs_on,740015,10,S_pi,-0.3286611577155032,-0.3286611577155032,0.0,0.9796644073593258,0.9796644073593258,0
guard,V6_off_vs_on,740015,10,S_pi_dq,0.146230084839393,0.146230084839393,0.0,0.9796644073593258,0.9796644073593258,0
guard,V6_off_vs_on,740015,10,R_cdw,1.4449265798727977,1.4449265798727977,0.0,0.9796644073593258,0.9796644073593258,0
guard,V6_off_vs_on,740015,11,S_pi,0.0767994731764985,0.0767994731764985,0.0,1.8098667720465336,1.8098667720465336,0
guard,V6_off_vs_on,740015,11,S_pi_dq,0.06534777519669477,0.06534777519669477,0.0,1.8098667720465336,1.8098667720465336,0
guard,V6_off_vs_on,740015,11,R_cdw,0.14911167363721034,0.14911167363721034,0.0,1.8098667720465336,1.8098667720465336,0
guard,V6_off_vs_on,740015,12,S_pi,0.21450912934931632,0.21450912934931632,0.0,2.148321652768427,2.148321652768427,0
guard,V6_off_vs_on,740015,12,S_pi_dq,0.023843132381264245,0.023843132381264245,0.0,2.148321652768427,2.148321652768427,0
guard,V6_off_vs_on,740015,12,R_cdw,0.888847936432407,0.888847936432407,0.0,2.148321652768427,2.148321652768427,0
guard,V6_off_vs_on,740015,13,S_pi,0.15644326524065177,0.15644326524065177,0.0,0.9796644073593258,0.9796644073593258,0
guard,V6_off_vs_on,740015,13,S_pi_dq,-0.0019462037737582709,-0.0019462037737582709,0.0,0.9796644073593258,0.9796644073593258,0
guard,V6_off_vs_on,740015,13,R_cdw,1.01244031675486,1.01244031675486,0.0,0.9796644073593258,0.9796644073593258,0
guard,V6_off_vs_on,740015,14,S_pi,0.5509234009008205,0.5509234009008205,0.0,1.3095035305387446,1.3095035305387446,0
guard,V6_off_vs_on,740015,14,S_pi_dq,-0.13014329097697802,-0.13014329097697802,0.0,1.3095035305387446,1.3095035305387446,0
guard,V6_off_vs_on,740015,14,R_cdw,1.2362275604270565,1.2362275604270565,0.0,1.3095035305387446,1.3095035305387446,0
guard,V6_off_vs_on,740015,15,S_pi,0.07351843401994843,0.07351843401994843,0.0,2.4916527312876755,2.4916527312876755,0
guard,V6_off_vs_on,740015,15,S_pi_dq,0.05400910386019354,0.05400910386019354,0.0,2.4916527312876755,2.4916527312876755,0
guard,V6_off_vs_on,740015,15,R_cdw,0.2653665086835397,0.2653665086835397,0.0,2.4916527312876755,2.4916527312876755,0
guard,V6_off_vs_on,740015,16,S_pi,0.11944166152162751,0.11944166152162751,0.0,0.6519441692793733,0.6519441692793733,0
guard,V6_off_vs_on,740015,16,S_pi_dq,0.015738088166712252,0.015738088166712252,0.0,0.6519441692793733,0.6519441692793733,0
guard,V6_off_vs_on,740015,16,R_cdw,0.8682361919097841,0.8682361919097841,0.0,0.6519441692793733,0.6519441692793733,0
guard,V6_off_vs_on,740015,17,S_pi,-0.15435674929637153,-0.15435674929637153,0.0,1.4754484240216774,1.4754484240216774,0
guard,V6_off_vs_on,740015,17,S_pi_dq,0.11859426245017304,0.11859426245017304,0.0,1.4754484240216774,1.4754484240216774,0
guard,V6_off_vs_on,740015,17,R_cdw,1.768312775377687,1.768312775377687,0.0,1.4754484240216774,1.4754484240216774,0
guard,V6_off_vs_on,740015,18,S_pi,0.1445423944372543,0.1445423944372543,0.0,1.3095035305387446,1.3095035305387446,0
guard,V6_off_vs_on,740015,18,S_pi_dq,0.008113275607007567,0.008113275607007567,0.0,1.3095035305387446,1.3095035305387446,0
guard,V6_off_vs_on,740015,18,R_cdw,0.9438692320090938,0.9438692320090938,0.0,1.3095035305387446,1.3095035305387446,0
guard,V6_off_vs_on,740015,19,S_pi,0.06439667041855063,0.06439667041855063,0.0,1.8098667720465336,1.8098667720465336,0
guard,V6_off_vs_on,740015,19,S_pi_dq,0.1035293388265858,0.1035293388265858,0.0,1.8098667720465336,1.8098667720465336,0
guard,V6_off_vs_on,740015,19,R_cdw,-0.607681548652899,-0.607681548652899,0.0,1.8098667720465336,1.8098667720465336,0
guard,V6_off_vs_on,740016,0,S_pi,0.5424224674762478,0.5424224674762478,0.0,0.32562394774651304,0.32562394774651304,0
guard,V6_off_vs_on,740016,0,S_pi_dq,-0.7113384967153992,-0.7113384967153992,0.0,0.32562394774651304,0.32562394774651304,0
guard,V6_off_vs_on,740016,0,R_cdw,2.311410458392467,2.311410458392467,0.0,0.32562394774651304,0.32562394774651304,0
guard,V6_off_vs_on,740016,1,S_pi,-0.5805191399888109,-0.5805191399888109,0.0,0.8155848033335169,0.8155848033335169,0
guard,V6_off_vs_on,740016,1,S_pi_dq,0.2263383786553578,0.2263383786553578,0.0,0.8155848033335169,0.8155848033335169,0
guard,V6_off_vs_on,740016,1,R_cdw,1.3898896058099313,1.3898896058099313,0.0,0.8155848033335169,0.8155848033335169,0
guard,V6_off_vs_on,740016,2,S_pi,0.030752173784561045,0.030752173784561045,0.0,1.8098667720465336,1.8098667720465336,0
guard,V6_off_vs_on,740016,2,S_pi_dq,0.10967505806316766,0.10967505806316766,0.0,1.8098667720465336,1.8098667720465336,0
guard,V6_off_vs_on,740016,2,R_cdw,-2.566416437144011,-2.566416437144011,0.0,1.8098667720465336,1.8098667720465336,0
guard,V6_off_vs_on,740016,3,S_pi,0.2461921288271762,0.2461921288271762,0.0,2.4916527312876755,2.4916527312876755,0
guard,V6_off_vs_on,740016,3,S_pi_dq,0.004998770458968126,0.004998770458968126,0.0,2.4916527312876755,2.4916527312876755,0
guard,V6_off_vs_on,740016,3,R_cdw,0.9796956528107477,0.9796956528107477,0.0,2.4916527312876755,2.4916527312876755,0
guard,V6_off_vs_on,740016,4,S_pi,0.15924082986857185,0.15924082986857185,0.0,4.315669125408017,4.315669125408017,1
guard,V6_off_vs_on,740016,4,S_pi_dq,0.030070172245265057,0.030070172245265057,0.0,4.315669125408017,4.315669125408017,1
guard,V6_off_vs_on,740016,4,R_cdw,0.8111654387252112,0.8111654387252112,0.0,4.315669125408017,4.315669125408017,1
guard,V6_off_vs_on,740016,5,S_pi,0.49740627249402775,0.49740627249402775,0.0,1.1442733718381495,1.1442733718381495,0
guard,V6_off_vs_on,740016,5,S_pi_dq,-0.21461352690061264,-0.21461352690061264,0.0,1.1442733718381495,1.1442733718381495,0
guard,V6_off_vs_on,740016,5,R_cdw,1.4314652604289173,1.4314652604289173,0.0,1.1442733718381495,1.1442733718381495,0
guard,V6_off_vs_on,740016,6,S_pi,-0.04363963590306899,-0.04363963590306899,0.0,3.196603678279158,3.196603678279158,1
guard,V6_off_vs_on,740016,6,S_pi_dq,0.06798192001458543,0.06798192001458543,0.0,3.196603678279158,3.196603678279158,1
guard,V6_off_vs_on,740016,6,R_cdw,2.5578021816127148,2.5578021816127148,0.0,3.196603678279158,3.196603678279158,1
guard,V6_off_vs_on,740016,7,S_pi,0.16144840003464525,0.16144840003464525,0.0,2.6654246812857756,2.6654246812857756,0
guard,V6_off_vs_on,740016,7,S_pi_dq,0.03204196060055019,0.03204196060055019,0.0,2.6654246812857756,2.6654246812857756,0
guard,V6_off_vs_on,740016,7,R_cdw,0.8015343565270743,0.8015343565270743,0.0,2.6654246812857756,2.6654246812857756,0
