comparison,group,seed,observable,left,right,difference
hs0_minus_hs1,10|2|18|0,720010,R_cdw,0.24675326764606997,0.21977960146403308,0.026973666182036893
hs0_minus_hs1,10|2|18|0,720010,average_sign,0.7846666666666666,1,-0.21533333333333338
hs0_minus_hs1,10|4|10|0,720030,S_pi,0.11845405608441702,0.12112577549399149,-0.0026717194095744745
hs0_minus_hs1,10|4|10|0,720030,S_pi_dq,0.013373558443422898,0.030040044324588375,-0.016666485881165476
hs0_minus_hs1,10|4|10|0,720030,R_cdw,0.8870991936832273,0.7519929659721475,0.13510622771107983
hs0_minus_hs1,10|4|10|0,720030,average_sign,0.112,1,-0.888
hs0_minus_hs1,10|2|10|0,720005,S_pi,0.046629020213237206,0.04456649475479226,0.0020625254584449443
hs0_minus_hs1,10|2|10|0,720005,S_pi_dq,0.035611815247564856,0.035889866724299155,-0.00027805147673429925
hs0_minus_hs1,10|2|10|0,720005,R_cdw,0.23627356773292763,0.1946894876573192,0.04158408007560843
hs0_minus_hs1,10|2|10|0,720005,average_sign,0.8753333333333333,1,-0.1246666666666667
hs0_minus_hs1,10|2|10|1,720016,S_pi,0.04571074876117019,0.04575996714669076,-4.921838552057051e-05
hs0_minus_hs1,10|2|10|1,720016,S_pi_dq,0.03636135791329741,0.03610675203684487,0.0002546058764525336
hs0_minus_hs1,10|2|10|1,720016,R_cdw,0.20453374974716654,0.2109532788540034,-0.006419529106836852
hs0_minus_hs1,10|2|10|1,720016,average_sign,0.8453333333333334,1,-0.15466666666666662
hs0_minus_hs1,10|2|10|1,720018,S_pi,0.045438803279889424,0.046342555450209016,-0.0009037521703195925
hs0_minus_hs1,10|2|10|1,720018,S_pi_dq,0.03662366140755182,0.03641311138028437,0.00021055002726744904
hs0_minus_hs1,10|2|10|1,720018,R_cdw,0.19400030889983988,0.21426190190553807,-0.020261593005698186
hs0_minus_hs1,10|2|10|1,720018,average_sign,0.8706666666666667,1,-0.1293333333333333
hs0_minus_hs1,10|4|10|1,720037,S_pi,0.05040975818891954,0.10750495497183228,-0.05709519678291274
hs0_minus_hs1,10|4|10|1,720037,S_pi_dq,0.07106144994456196,0.03463709224303697,0.03642435770152499
hs0_minus_hs1,10|4|10|1,720037,R_cdw,-0.40967646935036917,0.6778093414195434,-1.0874858107699126
hs0_minus_hs1,10|4|10|1,720037,average_sign,0.2773333333333333,1,-0.7226666666666667
hs0_minus_hs1,10|4|10|1,720038,S_pi,0.08303587488019447,0.10807676045349231,-0.02504088557329784
hs0_minus_hs1,10|4|10|1,720038,S_pi_dq,0.04603156364418911,0.03423893544828384,0.01179262819590527
hs0_minus_hs1,10|4|10|1,720038,R_cdw,0.4456424562202276,0.6831979853521093,-0.23755552913188172
hs0_minus_hs1,10|4|10|1,720038,average_sign,0.2813333333333333,1,-0.7186666666666667
hs0_minus_hs1,18|4|18|1,720118,S_pi,-0.13560611086643212,0.08156155637123053,-0.21716766723766265
hs0_minus_hs1,18|4|18|1,720118,S_pi_dq,-0.030916540137150124,0.028352722747353384,-0.05926926288450351
hs0_minus_hs1,18|4|18|1,720118,R_cdw,0.7720121907514774,0.6523763889655945,0.11963580178588296
hs0_minus_hs1,18|4|18|1,720118,average_sign,-0.009333333333333334,1,-1.0093333333333334
hs0_minus_hs1,18|2|18|1,720091,S_pi,0.024389246449479283,0.024771854903619914,-0.0003826084541406309
hs0_minus_hs1,18|2|18|1,720091,S_pi_dq,0.022558452922606623,0.022571519270918324,-1.3066348311701476e-05
hs0_minus_hs1,18|2|18|1,720091,R_cdw,0.07506560445256183,0.08882401585438215,-0.013758411401820325
hs0_minus_hs1,18|2|18|1,720091,average_sign,0.6513333333333333,1,-0.3486666666666667
hs0_minus_hs1,18|2|10|0,720074,S_pi,0.023612994859556643,0.023808667228176407,-0.0001956723686197641
hs0_minus_hs1,18|2|10|0,720074,S_pi_dq,0.02199025319142021,0.0223646609323778,-0.00037440774095759063
hs0_minus_hs1,18|2|10|0,720074,R_cdw,0.06872239958497584,0.060650446409267866,0.008071953175707969
hs0_minus_hs1,18|2|10|0,720074,average_sign,0.7793333333333333,1,-0.22066666666666668
hs0_minus_hs1,18|2|18|0,720082,S_pi,0.023782903753239305,0.024243381221569223,-0.0004604774683299173
hs0_minus_hs1,18|2|18|0,720082,S_pi_dq,0.02208118850602607,0.022444467801446467,-0.00036327929542039755
hs0_minus_hs1,18|2|18|0,720082,R_cdw,0.07155203859333015,0.07420224941734899,-0.0026502108240188393
hs0_minus_hs1,18|2|18|0,720082,average_sign,0.6786666666666666,1,-0.32133333333333336
hs0_minus_hs1,18|6|10|0,720124,S_pi,0.09453242410767657,0.19190788143089418,-0.09737545732321762
hs0_minus_hs1,18|6|10|0,720124,S_pi_dq,0.2749263580697842,0.008053324252834232,0.26687303381695
hs0_minus_hs1,18|6|10|0,720124,R_cdw,-1.9082757653250386,0.9580354689302626,-2.866311234255301
hs0_minus_hs1,18|6|10|0,720124,average_sign,0.03,1,-0.97
hs0_minus_hs1,18|4|10|1,720110,S_pi,0.1878658856132735,0.08191366756149718,0.10595221805177632
hs0_minus_hs1,18|4|10|1,720110,S_pi_dq,-0.10812266323323581,0.028664258007695988,-0.1367869212409318
hs0_minus_hs1,18|4|10|1,720110,R_cdw,1.5755311182776897,0.6500674568602838,0.9254636614174059
hs0_minus_hs1,18|4|10|1,720110,average_sign,0.015333333333333332,1,-0.9846666666666667
hs0_minus_hs1,18|6|18|1,720139,S_pi,-0.3118007657739342,0.17790574858255986,-0.48970651435649404
hs0_minus_hs1,18|6|18|1,720139,S_pi_dq,-0.17418948242682766,0.010496697242815316,-0.18468617966964299
hs0_minus_hs1,18|6|18|1,720139,R_cdw,0.4413436349507853,0.9409985493642204,-0.4996549144134351
hs0_minus_hs1,18|6|18|1,720139,average_sign,-0.016,1,-1.016
hs0_minus_hs1,10|4|10|1,720041,S_pi,0.15350685290493427,0.10608472923376819,0.04742212367116608
hs0_minus_hs1,10|4|10|1,720041,S_pi_dq,0.03551706377972469,0.03525771990898903,0.00025934387073565934
hs0_minus_hs1,10|4|10|1,720041,R_cdw,0.7686288064173906,0.6676456624468998,0.1009831439704908
hs0_minus_hs1,10|4|10|1,720041,average_sign,0.278,1,-0.722
hs0_minus_hs1,18|4|10|1,720111,S_pi,0.008508616531564869,0.0806839916280186,-0.07217537509645373
hs0_minus_hs1,18|4|10|1,720111,S_pi_dq,0.016438994696153165,0.02807532963761156,-0.011636334941458396
hs0_minus_hs1,18|4|10|1,720111,R_cdw,-0.9320408476711284,0.6520334570573969,-1.5840743047285253
hs0_minus_hs1,18|4|10|1,720111,average_sign,0.05533333333333333,1,-0.9446666666666667
hs0_minus_hs1,18|4|10|1,720114,S_pi,0.02568906156063365,0.07854495491212095,-0.0528558933514873
hs0_minus_hs1,18|4|10|1,720114,S_pi_dq,0.08432018386506968,0.029194510508642243,0.05512567335642743
hs0_minus_hs1,18|4|10|1,720114,R_cdw,-2.282338035823128,0.6283082657402228,-2.910646301563351
hs0_minus_hs1,18|4|10|1,720114,average_sign,0.016,1,-0.984
hs0_minus_hs1,18|2|10|1,720085,S_pi,0.024611036255681232,0.02482253500465843,-0.00021149874897719717
hs0_minus_hs1,18|2|10|1,720085,S_pi_dq,0.022821592894438605,0.022320398498288027,0.0005011943961505776
hs0_minus_hs1,18|2|10|1,720085,R_cdw,0.07270898074556087,0.10080100625906374,-0.028092025513502872
hs0_minus_hs1,18|2|10|1,720085,average_sign,0.778,1,-0.22199999999999998
hs0_minus_hs1,10|6|10|1,720064,S_pi,0.170252152895997,0.16720858565396748,0.0030435672420295046
hs0_minus_hs1,10|6|10|1,720064,S_pi_dq,0.015305450893178972,0.020774994967692577,-0.005469544074513605
hs0_minus_hs1,10|6|10|1,720064,R_cdw,0.9101012784106836,0.8757540177351555,0.03434726067552807
hs0_minus_hs1,10|6|10|1,720064,average_sign,0.252,1,-0.748
hs0_minus_hs1,10|4|10|0,720029,S_pi,0.042768177963589754,0.12080987483138074,-0.07804169686779099
