comparison,group,observable,n_pairs,mean_difference,paired_sem,z_score
hs0_minus_hs1,10|4|18|1,average_sign,6,-0.8958888888888888,0.0078115141353274015,-114.6882503658607
hs0_minus_hs1,10|6|10|0,R_cdw,6,0.021812263570167783,0.05563809473239744,0.3920382909421725
hs0_minus_hs1,10|6|10|0,S_pi,6,-0.03837819179387513,0.018610810654131667,-2.0621450890617186
hs0_minus_hs1,10|6|10|0,S_pi_dq,6,-0.0036079840071659083,0.008769371237726519,-0.4114301823195807
hs0_minus_hs1,10|6|10|0,average_sign,6,-0.8456666666666667,0.005296399895386656,-159.66820545466575
hs0_minus_hs1,10|6|10|1,R_cdw,6,0.014693997154710148,0.044433320492612484,0.330697705951397
hs0_minus_hs1,10|6|10|1,S_pi,6,0.010572209884090848,0.01959212269269421,0.5396153367308772
hs0_minus_hs1,10|6|10|1,S_pi_dq,6,-0.00511718098480091,0.005500161042310375,-0.9303693010871202
hs0_minus_hs1,10|6|10|1,average_sign,6,-0.7441111111111112,0.008584942315933246,-86.67630878894505
hs0_minus_hs1,10|6|18|0,R_cdw,6,0.2618042216788212,0.10382346238695024,2.521628692203275
hs0_minus_hs1,10|6|18|0,S_pi,6,0.1250341611825079,0.2085431278029869,0.599560208479414
hs0_minus_hs1,10|6|18|0,S_pi_dq,6,-0.0294255828243867,0.03839361771868583,-0.7664186021747446
hs0_minus_hs1,10|6|18|0,average_sign,6,-0.9477777777777777,0.008950343120535014,-105.892898742984
hs0_minus_hs1,10|6|18|1,R_cdw,6,0.22162558467952653,0.14553690358091678,1.5228136591232708
hs0_minus_hs1,10|6|18|1,S_pi,6,-0.0033854731837574723,0.07217328519822812,-0.04690756662190274
hs0_minus_hs1,10|6|18|1,S_pi_dq,6,0.007414168436895155,0.025021867507830434,0.29630755716274726
hs0_minus_hs1,10|6|18|1,average_sign,6,-0.8844444444444445,0.007417030785901617,-119.24508202468397
hs0_minus_hs1,18|2|10|0,R_cdw,6,0.00182407543071376,0.004620232701224196,0.39480163633975524
hs0_minus_hs1,18|2|10|0,S_pi,6,4.854229873802544e-05,9.996398570117207e-05,0.4855978720489962
hs0_minus_hs1,18|2|10|0,S_pi_dq,6,1.7273021352028305e-06,0.00011055808839027732,0.015623480473950855
hs0_minus_hs1,18|2|10|0,average_sign,6,-0.2005555555555556,0.007129316972461468,-28.131103769161182
hs0_minus_hs1,18|2|10|1,R_cdw,6,0.004282047460655321,0.007487634123612646,0.5718825719798006
hs0_minus_hs1,18|2|10|1,S_pi,6,6.961455497156432e-05,0.0001357332870652611,0.5128775444603605
hs0_minus_hs1,18|2|10|1,S_pi_dq,6,-3.548363807548879e-05,0.00012413129257841254,-0.2858557043790881
hs0_minus_hs1,18|2|10|1,average_sign,6,-0.21155555555555558,0.0023136737928569494,-91.43707129704076
hs0_minus_hs1,18|2|18|0,R_cdw,6,0.006069422740065444,0.005093268607686002,1.1916557337868212
hs0_minus_hs1,18|2|18|0,S_pi,6,-6.372396765893726e-05,0.00012208125902855263,-0.5219799350532038
hs0_minus_hs1,18|2|18|0,S_pi_dq,6,-0.00020491369076130103,0.00011091263064795767,-1.8475234927184039
hs0_minus_hs1,18|2|18|0,average_sign,6,-0.335,0.0036747385898460395,-91.16294718913203
hs0_minus_hs1,18|2|18|1,R_cdw,6,0.0002478756085764015,0.003788098876809466,0.0654353586422684
hs0_minus_hs1,18|2|18|1,S_pi,6,-1.0985223977182679e-05,8.731785757235862e-05,-0.12580730084999436
hs0_minus_hs1,18|2|18|1,S_pi_dq,6,-1.4727931932352148e-05,7.608486487571709e-05,-0.19357242674229483
hs0_minus_hs1,18|2|18|1,average_sign,6,-0.3478888888888889,0.005367713263486827,-64.81137717533423
hs0_minus_hs1,18|4|10|0,R_cdw,6,0.2805216954562211,0.23528174290576073,1.1922799108496092
hs0_minus_hs1,18|4|10|0,S_pi,6,-0.3342556027273318,0.23317275488687794,-1.4335105441006324
hs0_minus_hs1,18|4|10|0,S_pi_dq,6,0.1008730913907474,0.05998083909634576,1.6817552556861937
hs0_minus_hs1,18|4|10|0,average_sign,6,-0.9803333333333333,0.008382963322958898,-116.9435312508691
hs0_minus_hs1,18|4|10|1,R_cdw,6,-3.1519999767188565,2.3455272330656345,-1.3438343125094103
hs0_minus_hs1,18|4|10|1,S_pi,6,-0.02229640526380582,0.027687492998611396,-0.805287978399635
hs0_minus_hs1,18|4|10|1,S_pi_dq,6,-0.005805090943129042,0.02763066182812733,-0.2100959788527252
hs0_minus_hs1,18|4|10|1,average_sign,6,-0.9546666666666667,0.009831167369740578,-97.10613508676926
hs0_minus_hs1,18|4|18|0,R_cdw,6,0.7226219405657938,0.2733879929171917,2.6432102333940963
hs0_minus_hs1,18|4|18|0,S_pi,6,-0.12988333515280834,0.2031689397438741,-0.6392873601474044
hs0_minus_hs1,18|4|18|0,S_pi_dq,6,0.1017948855213831,0.07857573302986445,1.2955002975625274
hs0_minus_hs1,18|4|18|0,average_sign,6,-1.0018888888888888,0.00771994370861585,-129.77929978566164
hs0_minus_hs1,18|4|18|1,R_cdw,6,-2.0610984917314927,2.5631799319143274,-0.804117754695492
hs0_minus_hs1,18|4|18|1,S_pi,6,-0.5778992890883797,0.43555949904342434,-1.3267975795673428
hs0_minus_hs1,18|4|18|1,S_pi_dq,6,0.323925688750965,0.3261428774027874,0.9932017872980125
hs0_minus_hs1,18|4|18|1,average_sign,6,-0.9932222222222222,0.003689491249347586,-269.2030296583178
hs0_minus_hs1,18|6|10|0,R_cdw,6,-0.0440171403264222,0.5888513570991128,-0.0747508514598081
hs0_minus_hs1,18|6|10|0,S_pi,6,0.006766313626445901,0.5095395055465769,0.013279271877433248
hs0_minus_hs1,18|6|10|0,S_pi_dq,6,0.20136995211035794,0.36208711411804867,0.5561367534463177
hs0_minus_hs1,18|6|10|0,average_sign,6,-0.9861111111111112,0.007145921741165667,-137.9963490826382
hs0_minus_hs1,18|6|10|1,R_cdw,6,-0.16121684181343396,0.32714788513265586,-0.4927949992648182
hs0_minus_hs1,18|6|10|1,S_pi,6,-0.17542859020488744,0.26058629114445037,-0.6732072874380118
hs0_minus_hs1,18|6|10|1,S_pi_dq,6,-0.0248349969145195,0.09006771869330009,-0.2757369374380181
hs0_minus_hs1,18|6|10|1,average_sign,6,-0.9735555555555555,0.009986163266746808,-97.49045049137382
hs0_minus_hs1,18|6|18|0,R_cdw,6,-3.2725494786289215,1.9514507555890253,-1.6769828648026204
