kind,comparison,seed,metric,task_a,task_b,value_a,value_b,difference_b_minus_a,physics_pair_valid
interval,5_vs_10,740003,sign_corrections,2,8,0.0,0.0,0.0,0
interval,5_vs_10,740003,max_sign_imag,2,8,7.380111754801153e-07,1.4537263149760056e-05,1.379925197427994e-05,0
interval,5_vs_10,740003,max_observable_imag,2,8,1.3277786612082914e-10,1.846707562699115e-10,5.1892890149082363e-11,0
interval,5_vs_10,740003,diagnostic_relative_frobenius_max,2,8,5.134206543657127e-12,8.42299242958862e-12,3.2887858859314925e-12,0
interval,5_vs_10,740003,diagnostic_S_pi_abs_diff_max,2,8,7.528699885739343e-16,4.544975507059235e-16,-2.983724378680108e-16,0
interval,5_vs_10,740003,diagnostic_R_cdw_abs_diff_max,2,8,2.942091015256665e-13,1.8751666885918894e-13,-1.0669243266647754e-13,0
interval,5_vs_10,740003,diagnostic_sign_mismatch_count,2,8,0.0,0.0,0.0,0
interval,5_vs_20,740003,S_pi,2,14,-11.083138452838726,-11.083138452761085,7.764100473650615e-11,0
interval,5_vs_20,740003,S_pi_dq,2,14,7.71269875983598,7.712698760231871,3.958904315481959e-10,0
interval,5_vs_20,740003,R_cdw,2,14,1.6958948309321649,1.69589483097276,4.0595082850813924e-11,0
interval,5_vs_20,740003,average_sign,2,14,0.002,0.002,0.0,0
interval,5_vs_20,740003,acceptance,2,14,0.6305429012345679,0.6305429012345679,0.0,0
interval,5_vs_20,740003,sign_corrections,2,14,0.0,0.0,0.0,0
interval,5_vs_20,740003,max_sign_imag,2,14,7.380111754801153e-07,0.008525190321070764,0.008524452309895283,0
interval,5_vs_20,740003,max_observable_imag,2,14,1.3277786612082914e-10,9.150947527556139e-10,7.823168866347848e-10,0
interval,5_vs_20,740003,diagnostic_relative_frobenius_max,2,14,5.134206543657127e-12,2.876278987050345e-11,2.3628583326846324e-11,0
interval,5_vs_20,740003,diagnostic_S_pi_abs_diff_max,2,14,7.528699885739343e-16,1.6930901125533637e-15,9.402201239794294e-16,0
interval,5_vs_20,740003,diagnostic_R_cdw_abs_diff_max,2,14,2.942091015256665e-13,2.6290081223123707e-13,-3.1308289294429414e-14,0
interval,5_vs_20,740003,diagnostic_sign_mismatch_count,2,14,0.0,0.0,0.0,0
interval,10_vs_20,740003,S_pi,8,14,-11.083138452824798,-11.083138452761085,6.371259075876878e-11,0
interval,10_vs_20,740003,S_pi_dq,8,14,7.712698759802541,7.712698760231871,4.2932946087148594e-10,0
interval,10_vs_20,740003,R_cdw,8,14,1.6958948309300221,1.69589483097276,4.2737813288340476e-11,0
interval,10_vs_20,740003,average_sign,8,14,0.002,0.002,0.0,0
interval,10_vs_20,740003,acceptance,8,14,0.6305429012345679,0.6305429012345679,0.0,0
interval,10_vs_20,740003,sign_corrections,8,14,0.0,0.0,0.0,0
interval,10_vs_20,740003,max_sign_imag,8,14,1.4537263149760056e-05,0.008525190321070764,0.008510653057921003,0
interval,10_vs_20,740003,max_observable_imag,8,14,1.846707562699115e-10,9.150947527556139e-10,7.304239964857024e-10,0
interval,10_vs_20,740003,diagnostic_relative_frobenius_max,8,14,8.42299242958862e-12,2.876278987050345e-11,2.0339797440914832e-11,0
interval,10_vs_20,740003,diagnostic_S_pi_abs_diff_max,8,14,4.544975507059235e-16,1.6930901125533637e-15,1.2385925618474403e-15,0
interval,10_vs_20,740003,diagnostic_R_cdw_abs_diff_max,8,14,1.8751666885918894e-13,2.6290081223123707e-13,7.538414337204813e-14,0
interval,10_vs_20,740003,diagnostic_sign_mismatch_count,8,14,0.0,0.0,0.0,0
interval,5_vs_10,740004,S_pi,3,9,1.2535154354505351,1.2535154354505194,-1.5765166949677223e-14,0
interval,5_vs_10,740004,S_pi_dq,3,9,-1.2408160015062935,-1.2408160015104461,-4.1526782013079355e-12,0
interval,5_vs_10,740004,R_cdw,3,9,1.9898689449008042,1.9898689449041296,3.325340003357269e-12,0
interval,5_vs_10,740004,average_sign,3,9,-0.0026666666666666666,-0.0026666666666666666,0.0,0
interval,5_vs_10,740004,acceptance,3,9,0.6308472222222222,0.6308472222222222,0.0,0
interval,5_vs_10,740004,sign_corrections,3,9,0.0,0.0,0.0,0
interval,5_vs_10,740004,max_sign_imag,3,9,5.951321252288081e-06,1.350850522718071e-05,7.557183974892629e-06,0
interval,5_vs_10,740004,max_observable_imag,3,9,1.7059684357531978e-11,5.683099326458747e-11,3.977130890705549e-11,0
interval,5_vs_10,740004,diagnostic_relative_frobenius_max,3,9,5.060312515938851e-13,4.973854479868514e-13,-8.645803607033715e-15,0
interval,5_vs_10,740004,diagnostic_S_pi_abs_diff_max,3,9,1.8735013540549517e-16,2.3592239273284576e-16,4.85722573273506e-17,0
interval,5_vs_10,740004,diagnostic_R_cdw_abs_diff_max,3,9,1.1546319456101628e-14,7.327471962526033e-15,-4.218847493575595e-15,0
interval,5_vs_10,740004,diagnostic_sign_mismatch_count,3,9,0.0,0.0,0.0,0
interval,5_vs_20,740004,S_pi,3,15,1.2535154354505351,1.2535154354518814,1.3462564396604648e-12,0
interval,5_vs_20,740004,S_pi_dq,3,15,-1.2408160015062935,-1.2408160015160972,-9.803713396649982e-12,0
interval,5_vs_20,740004,R_cdw,3,15,1.9898689449008042,1.9898689449075622,6.757927550893328e-12,0
interval,5_vs_20,740004,average_sign,3,15,-0.0026666666666666666,-0.0026666666666666666,0.0,0
interval,5_vs_20,740004,acceptance,3,15,0.6308472222222222,0.6308472222222222,0.0,0
interval,5_vs_20,740004,sign_corrections,3,15,0.0,0.0,0.0,0
interval,5_vs_20,740004,max_sign_imag,3,15,5.951321252288081e-06,0.003783297003456658,0.00377734568220437,0
interval,5_vs_20,740004,max_observable_imag,3,15,1.7059684357531978e-11,1.6088633675555608e-10,1.438266523980241e-10,0
interval,5_vs_20,740004,diagnostic_relative_frobenius_max,3,15,5.060312515938851e-13,5.29712145213105e-12,4.7910902005371654e-12,0
interval,5_vs_20,740004,diagnostic_S_pi_abs_diff_max,3,15,1.8735013540549517e-16,8.257283745649602e-16,6.38378239159465e-16,0
interval,5_vs_20,740004,diagnostic_R_cdw_abs_diff_max,3,15,1.1546319456101628e-14,1.7408297026122455e-13,1.6253665080512292e-13,0
interval,5_vs_20,740004,diagnostic_sign_mismatch_count,3,15,0.0,0.0,0.0,0
interval,10_vs_20,740004,S_pi,9,15,1.2535154354505194,1.2535154354518814,1.362021606610142e-12,0
interval,10_vs_20,740004,S_pi_dq,9,15,-1.2408160015104461,-1.2408160015160972,-5.651035195342047e-12,0
interval,10_vs_20,740004,R_cdw,9,15,1.9898689449041296,1.9898689449075622,3.432587547536059e-12,0
interval,10_vs_20,740004,average_sign,9,15,-0.0026666666666666666,-0.0026666666666666666,0.0,0
interval,10_vs_20,740004,acceptance,9,15,0.6308472222222222,0.6308472222222222,0.0,0
interval,10_vs_20,740004,sign_corrections,9,15,0.0,0.0,0.0,0
interval,10_vs_20,740004,max_sign_imag,9,15,1.350850522718071e-05,0.003783297003456658,0.0037697884982294773,0
interval,10_vs_20,740004,max_observable_imag,9,15,5.683099326458747e-11,1.6088633675555608e-10,1.0405534349096861e-10,0
interval,10_vs_20,740004,diagnostic_relative_frobenius_max,9,15,4.973854479868514e-13,5.29712145213105e-12,4.799736004144199e-12,0
interval,10_vs_20,740004,diagnostic_S_pi_abs_diff_max,9,15,2.3592239273284576e-16,8.257283745649602e-16,5.898059818321144e-16,0
interval,10_vs_20,740004,diagnostic_R_cdw_abs_diff_max,9,15,7.327471962526033e-15,1.7408297026122455e-13,1.667554982986985e-13,0
interval,10_vs_20,740004,diagnostic_sign_mismatch_count,9,15,0.0,0.0,0.0,0
interval,5_vs_10,740005,S_pi,4,10,0.3368012320087679,0.3368012320087158,-5.206945985491984e-14,0
interval,5_vs_10,740005,S_pi_dq,4,10,-0.3603686623582942,-0.3603686623583062,-1.2045919817182948e-14,0
interval,5_vs_10,740005,R_cdw,4,10,2.0699742997047967,2.069974299704998,2.0117241206207837e-13,0
interval,5_vs_10,740005,average_sign,4,10,-0.005333333333333333,-0.005333333333333333,0.0,0
interval,5_vs_10,740005,acceptance,4,10,0.630783153292181,0.630783153292181,0.0,0
interval,5_vs_10,740005,sign_corrections,4,10,0.0,0.0,0.0,0
interval,5_vs_10,740005,max_sign_imag,4,10,5.030004052408019e-06,0.0004504152105607477,0.00044538520650833964,0
interval,5_vs_10,740005,max_observable_imag,4,10,9.947384343246042e-11,1.060754916597671e-09,9.612810731652106e-10,0
interval,5_vs_10,740005,diagnostic_relative_frobenius_max,4,10,5.687147561387841e-13,1.3951064626517025e-12,8.263917065129184e-13,0
interval,5_vs_10,740005,diagnostic_S_pi_abs_diff_max,4,10,2.220446049250313e-16,2.502338614096544e-16,2.8189256484623115e-17,0
interval,5_vs_10,740005,diagnostic_R_cdw_abs_diff_max,4,10,1.0029754804463664e-12,3.920419544556353e-12,2.9174440641099864e-12,0
interval,5_vs_10,740005,diagnostic_sign_mismatch_count,4,10,0.0,0.0,0.0,0
interval,5_vs_20,740005,S_pi,4,16,0.3368012320087679,0.3368012320087567,-1.1157741397482823e-14,0
interval,5_vs_20,740005,S_pi_dq,4,16,-0.3603686623582942,-0.36036866235800813,2.860489622946716e-13,0
interval,5_vs_20,740005,R_cdw,4,16,2.0699742997047967,2.0699742997039827,-8.140155216551648e-13,0
interval,5_vs_20,740005,average_sign,4,16,-0.005333333333333333,-0.005333333333333333,0.0,0
interval,5_vs_20,740005,acceptance,4,16,0.630783153292181,0.630783153292181,0.0,0
interval,5_vs_20,740005,sign_corrections,4,16,0.0,1.0,1.0,0
interval,5_vs_20,740005,max_sign_imag,4,16,5.030004052408019e-06,0.02429407028832073,0.024289040284268322,0
interval,5_vs_20,740005,max_observable_imag,4,16,9.947384343246042e-11,7.722157227819158e-10,6.727418793494554e-10,0
interval,5_vs_20,740005,diagnostic_relative_frobenius_max,4,16,5.687147561387841e-13,1.6612830315225539e-12,1.0925682753837697e-12,0
interval,5_vs_20,740005,diagnostic_S_pi_abs_diff_max,4,16,2.220446049250313e-16,4.129075553693795e-15,3.907030948768764e-15,0
interval,5_vs_20,740005,diagnostic_R_cdw_abs_diff_max,4,16,1.0029754804463664e-12,6.397904428467882e-11,6.297606880423245e-11,0
interval,5_vs_20,740005,diagnostic_sign_mismatch_count,4,16,0.0,0.0,0.0,0
interval,10_vs_20,740005,S_pi,10,16,0.3368012320087158,0.3368012320087567,4.091171845743702e-14,0
interval,10_vs_20,740005,S_pi_dq,10,16,-0.3603686623583062,-0.36036866235800813,2.9809488211185453e-13,0
