task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,stabilization_interval,guard,diagnostic_stride,sign_stride,output_dir,status,exit_code,result_present,measurement_rows,S_pi,S_pi_dq,R_cdw,average_sign,acceptance,sign_corrections,max_sign_imag,max_observable_imag,diagnostic_relative_frobenius_max,diagnostic_S_pi_abs_diff_max,diagnostic_R_cdw_abs_diff_max,diagnostic_sign_mismatch_count,average_sign_err,sign_recomputes,adaptive_rebuild_count,guard_trigger_fraction,min_update_denominator,diagnostic_comparisons,average_sign_z,physics_valid
20,stability,10,4,10,8,0.1,1,0,0,0,740009,500,3000,10,0,100,20,raw/stability/task_0020_s740009,complete,,1,3000,0.25864952450496925,0.05031023301153995,0.805488786001718,0.14933333333333335,0.6278981666666666,0,4.145357967369166e-06,7.039164471323373e-12,1.0658662767396451e-13,1.8318679906315083e-15,1.2612133559741778e-13,0,0.019978936276409766,150,0,0,inf,30,7.4745387475738365,1
21,stability,10,4,10,8,0.1,1,0,0,0,740010,500,3000,10,0,100,20,raw/stability/task_0021_s740010,complete,,1,3000,0.14938149275107057,0.025056857505664595,0.8322626381340333,0.13333333333333333,0.628134,0,3.9608102984422033e-05,2.708153634767711e-12,3.0712400886325805e-14,3.885780586188048e-16,5.023759186428833e-15,0,0.02117043066408721,150,0,0,inf,30,6.298092629712792,1
22,stability,10,4,10,8,0.1,1,0,0,0,740011,500,3000,10,0,100,20,raw/stability/task_0022_s740011,complete,,1,3000,0.08285815100951112,0.03845293208815057,0.5359185352357593,0.16866666666666666,0.6278234166666666,0,9.408771404026404e-08,3.270966695626104e-10,1.892239647110212e-14,6.38378239159465e-16,1.5543122344752192e-15,0,0.021046132850106328,150,0,0,inf,30,8.014140548666855,1
23,stability,10,4,10,8,0.1,1,0,0,0,740012,500,3000,10,0,100,20,raw/stability/task_0023_s740012,complete,,1,3000,0.05890405859460355,0.03929913335290676,0.3328280887506261,0.118,0.6279019166666666,0,5.96260721741487e-07,2.8732358297482126e-12,2.2857080345510684e-14,1.6653345369377348e-16,1.5543122344752192e-15,0,0.012435564918965329,150,0,0,inf,30,9.488913512890727,1
24,stability,10,4,10,8,0.1,1,0,0,0,740007,500,3000,10,1,100,20,raw/stability/task_0024_s740007,complete,,1,3000,0.15240775250119223,0.008599511725522075,0.9435756279822131,0.13733333333333334,0.6280075833333333,0,1.0606190836409686e-06,1.3326144070589629e-12,3.043565363238507e-14,3.2751579226442118e-15,9.325873406851315e-15,0,0.017574569612824758,150,146982,0.020233,7.895660412149397e-07,30,7.81432128119465,1
25,stability,10,4,10,8,0.1,1,0,0,0,740008,500,3000,10,1,100,20,raw/stability/task_0025_s740008,complete,,1,3000,0.16514629425788735,0.023549317618805764,0.8574032937001186,0.142,0.6279763333333334,0,2.9159233822630535e-06,2.685119851051862e-12,5.0894661780312794e-14,2.914335439641036e-15,8.43769498715119e-15,0,0.016817562527213184,150,148626,0.020428857142857144,1.5610931214382617e-07,30,8.443554157757642,1
26,stability,10,4,10,8,0.1,1,0,0,0,740009,500,3000,10,1,100,20,raw/stability/task_0026_s740009,complete,,1,3000,0.25864952450496925,0.05031023301153995,0.805488786001718,0.14933333333333335,0.6278981666666666,0,4.222705452959587e-06,7.039164471323373e-12,1.0658662767396451e-13,1.8318679906315083e-15,1.2612133559741778e-13,0,0.019978936276409766,150,147145,0.02023485714285714,5.90787958554273e-08,30,7.4745387475738365,1
27,stability,10,4,10,8,0.1,1,0,0,0,740010,500,3000,10,1,100,20,raw/stability/task_0027_s740010,complete,,1,3000,0.14938149275107057,0.025056857505664595,0.8322626381340333,0.13333333333333333,0.628134,0,8.454329134494371e-05,2.708153634767711e-12,3.0712400886325805e-14,3.885780586188048e-16,5.023759186428833e-15,0,0.02117043066408721,150,148138,0.020365,7.832947936936563e-07,30,6.298092629712792,1
28,stability,10,4,10,8,0.1,1,0,0,0,740011,500,3000,10,1,100,20,raw/stability/task_0028_s740011,complete,,1,3000,0.08285815100951112,0.03845293208815057,0.5359185352357593,0.16866666666666666,0.6278234166666666,0,7.159680742295088e-07,3.270966695626104e-10,1.892239647110212e-14,6.38378239159465e-16,1.5543122344752192e-15,0,0.021046132850106328,150,146957,0.020187,7.077058398197167e-07,30,8.014140548666855,1
29,stability,10,4,10,8,0.1,1,0,0,0,740012,500,3000,10,1,100,20,raw/stability/task_0029_s740012,complete,,1,3000,0.05890405859460355,0.03929913335290676,0.3328280887506261,0.118,0.6279019166666666,0,4.550563608695365e-07,2.8732358297482126e-12,2.2857080345510684e-14,1.6653345369377348e-16,1.5543122344752192e-15,0,0.012435564918965329,150,148891,0.020449714285714286,2.5303276462995683e-07,30,9.488913512890727,1
30,stability,10,6,10,8,0.1,1,0,0,0,740013,500,3000,10,0,100,20,raw/stability/task_0030_s740013,complete,,1,3000,0.23382151248023214,0.014759566039835794,0.936876783135668,0.17066666666666666,0.5602316666666667,0,3.781496751380069e-05,2.516541284677967e-12,4.8643500321199917e-14,1.609823385706477e-15,2.3092638912203256e-13,0,0.01560954444042374,150,0,0,inf,30,10.933481583530039,1
31,stability,10,6,10,8,0.1,1,0,0,0,740014,500,3000,10,0,100,20,raw/stability/task_0031_s740014,complete,,1,3000,0.14582753633877188,0.012589022323797544,0.9136718438789777,0.15466666666666667,0.56058925,1,3.9609904884673613e-05,4.750854397265603e-12,3.817661894960516e-13,4.440892098500626e-16,7.438494264988549e-15,0,0.018261261846064372,150,0,0,inf,30,8.469659324226825,1
32,stability,10,6,10,8,0.1,1,0,0,0,740015,500,3000,10,0,100,20,raw/stability/task_0032_s740015,complete,,1,3000,0.21056832192479585,0.005308370172547976,0.9747902717558634,0.11666666666666667,0.5602930833333334,1,6.426984986788342e-06,2.59677483271225e-12,2.5222852788845496e-13,6.161737786669619e-15,6.80566714095221e-14,0,0.018350072103368708,150,0,0,inf,30,6.357831512021633,1
33,stability,10,6,10,8,0.1,1,0,0,0,740016,500,3000,10,0,100,20,raw/stability/task_0033_s740016,complete,,1,3000,0.14944364326243387,0.015679497645244005,0.8950808659173969,0.166,0.560705,0,1.86876248065613e-05,7.925113698756803e-12,4.957921510658127e-14,1.1657341758564144e-15,1.0436096431476471e-14,0,0.022550268731947317,150,0,0,inf,30,7.361331342576207,1
34,stability,10,6,10,8,0.1,1,0,0,0,740017,500,3000,10,0,100,20,raw/stability/task_0034_s740017,complete,,1,3000,0.18398687938419533,0.028584342028788602,0.8446392366430667,0.126,0.5604855,1,0.0003013112945556326,3.6050066150023137e-12,5.142868521679819e-13,2.0816681711721685e-15,2.255973186038318e-13,0,0.012061247207918686,150,0,0,inf,30,10.44668083059238,1
35,stability,10,6,10,8,0.1,1,0,0,0,740018,500,3000,10,0,100,20,raw/stability/task_0035_s740018,complete,,1,3000,0.14171458885432003,0.011655140111341625,0.9177562436897524,0.15266666666666667,0.5604114166666667,0,2.772780729551268e-06,1.2030984149872043e-11,4.6565682698974e-13,6.38378239159465e-16,2.55351295663786e-14,0,0.017791622802158055,150,0,0,inf,30,8.580817408524915,1
