campaign,L,V,theta,delta,mu,boundary,hs_scheme,stabilization_interval,guard,n,S_pi,S_pi_seed_sem,S_pi_dq,S_pi_dq_seed_sem,R_cdw,R_cdw_seed_sem,average_sign,average_sign_seed_sem,sign_corrections,diagnostic_sign_mismatch_count,max_sign_imag,max_fast_full_green_rel
gaussian_qmc,10,0,10,1,0,1,0,10,0,1,0.025000000000000005,nan,0.025000000000000005,nan,0.0,nan,1.0,nan,0.0,0.0,1.2095238583600247e-15,6.198161705160057e-16
gaussian_qmc,10,0,10,1,0.7,0,0,10,0,1,0.023467388641736482,nan,0.023599028416028508,nan,-0.005609476891600407,nan,1.0,nan,0.0,0.0,3.683985953066862e-14,4.079653023936675e-15
gaussian_qmc,10,0,10,1,0.7,1,0,10,0,1,0.022660039354605692,nan,0.022868510153502556,nan,-0.009199931016646401,nan,1.0,nan,0.0,0.0,3.797658200372265e-15,5.968081754647154e-15
gaussian_qmc,10,0,10,1.3,0,0,0,10,0,1,0.02174624384332126,nan,0.02237116269290512,nan,-0.02873686389641894,nan,1.0,nan,0.0,0.0,2.6983167273187874e-14,1.689162692079725e-15
gaussian_qmc,10,0,10,1.3,0,1,0,10,0,1,0.021413029918465873,nan,0.02210825930366244,nan,-0.032467585757073314,nan,1.0,nan,0.0,0.0,2.5823686386809657e-16,4.895904630239947e-15
gaussian_qmc,10,0,10,1.3,0.7,0,0,10,0,1,0.020605166878301214,nan,0.02128896734991466,nan,-0.03318587399229167,nan,1.0,nan,0.0,0.0,7.245450229549824e-14,7.693618776157596e-15
gaussian_qmc,10,0,10,1.3,0.7,1,0,10,0,1,0.019511451842825052,nan,0.02033581572634548,nan,-0.04225025847185093,nan,1.0,nan,0.0,0.0,6.161852600705146e-14,5.836293148724022e-15
gaussian_qmc,20,0,10,0.5,0,0,0,10,0,1,0.01666610215418316,nan,0.016439383313975577,nan,0.013603591176277408,nan,1.0,nan,0.0,0.0,1.1017836159881125e-14,4.67748071506591e-15
gaussian_qmc,20,0,10,0.5,0,1,0,10,0,1,0.016875000312122766,nan,0.01663397592108635,nan,0.014282926612052771,nan,1.0,nan,0.0,0.0,4.7893086228881625e-15,7.268260305194502e-15
gaussian_qmc,20,0,10,0.5,0.7,0,0,10,0,1,0.015218643791122028,nan,0.015092635601052673,nan,0.008279856720403878,nan,1.0,nan,0.0,0.0,7.302736034037158e-14,8.703471652543423e-15
gaussian_qmc,20,0,10,0.5,0.7,1,0,10,0,1,0.015113276314480723,nan,0.01499761946637127,nan,0.007652665491111099,nan,1.0,nan,0.0,0.0,7.013800152318111e-14,1.2893810291307349e-14
gaussian_qmc,20,0,10,1,0,0,0,10,0,1,0.012500000000000002,nan,0.012500000000000002,nan,0.0,nan,1.0,nan,0.0,0.0,2.6460049278762613e-15,3.5263857564848223e-16
gaussian_qmc,20,0,10,1,0,1,0,10,0,1,0.012500000000000002,nan,0.012500000000000002,nan,0.0,nan,1.0,nan,0.0,0.0,6.103560768915177e-16,3.331755870979145e-16
gaussian_qmc,20,0,10,1,0.7,0,0,10,0,1,0.011732930723836956,nan,0.011749694189282964,nan,-0.00142875346668081,nan,1.0,nan,0.0,0.0,1.0751425251384108e-13,8.267411070825459e-15
gaussian_qmc,20,0,10,1,0.7,1,0,10,0,1,0.011531476147157636,nan,0.011553076315715761,nan,-0.0018731486136274178,nan,1.0,nan,0.0,0.0,3.6314983820477053e-14,6.6376679408697326e-15
gaussian_qmc,20,0,10,1.3,0,0,0,10,0,1,0.010869565351667306,nan,0.010950642613748864,nan,-0.007459108019358007,nan,1.0,nan,0.0,0.0,3.590775044244602e-14,3.5482891001921745e-15
gaussian_qmc,20,0,10,1.3,0,1,0,10,0,1,0.010788043478260708,nan,0.010873304136902904,nan,-0.007903255007639443,nan,1.0,nan,0.0,0.0,1.1112886853557684e-15,6.076579776166484e-15
gaussian_qmc,20,0,10,1.3,0.7,0,0,10,0,1,0.010274336447508923,nan,0.010364094127134713,nan,-0.008736104767870678,nan,1.0,nan,0.0,0.0,8.829989670562041e-14,9.418175044482792e-15
gaussian_qmc,20,0,10,1.3,0.7,1,0,10,0,1,0.010016455461768445,nan,0.010114146105463436,nan,-0.009753015332406134,nan,1.0,nan,0.0,0.0,7.38548740212548e-14,9.021964598236262e-15
